13970297
/m/03cprqd
/m/03cprqd
Velma Wallis

75yearold 1
80yearold 1
a 14
able 1
about 1
admit 1
after 2
again 2
alaska 1
all 1
alone 1
amounts 1
an 3
and 15
animal 2
announced 1
another 2
are 2
area 1
areas 1
around 1
as 2
ashamed 1
at 2
athabaska 1
away 3
babiche 1
back 2
be 1
beavers 1
because 2
been 2
before 4
behind 2
believes 1
belong 1
better 2
boil 1
both 1
broth 1
building 1
but 3
by 1
came 1
camp 3
campfires 1
can 1
cannibalism 1
catch 1
chidzigyaak 5
complain 1
concludes 1
constant 1
cross 1
daagoo 4
daughter 3
days 1
decide 2
decides 1
decision 1
deep 1
deliver 1
desperation 1
die 2
dig 1
do 2
does 1
doing 1
down 1
drink 1
dry 1
dumbfounded 1
each 1
effort 1
elderly 1
embers 1
end 3
europeans 1
evening 1
eventually 1
ever 1
fact 1
familial 1
familiar 1
fear 1
few 1
finally 2
find 2
fire 2
first 2
fish 1
fished 1
food 3
for 7
fortunately 1
fright 1
from 3
game 2
generous 1
gesture 1
gives 2
go 1
goes 1
grandson 2
group 2
groups 1
grow 1
gwichin 3
had 3
hatchet 2
have 1
having 2
he 1
hearts 1
hesitate 1
hide 1
hides 2
his 5
home 1
honest 1
however 4
hunt 1
hunting 1
if 1
in 22
inland 1
is 3
it 1
joints 1
journey 1
killing 1
lack 1
large 1
leader 3
leave 2
leaves 1
left 3
little 1
locate 1
lonely 1
long 3
lot 1
luck 1
made 1
make 1
makes 1
manage 1
manhood 1
meat 1
men 1
middle 1
might 1
missing 1
mistrust 1
moose 1
mornings 1
mother 1
move 1
moving 1
musquashes 1
must 1
muster 1
never 3
new 2
next 2
night 2
no 1
noises 1
nomad 1
nomads 1
not 3
now 1
of 21
off 1
old 4
on 5
one 1
or 1
order 1
osseous 1
out 1
own 1
pains 1
peace 1
people 4
picks 1
polar 1
porcupine 1
protected 1
rabbit 1
rabbits 1
rations 1
reach 2
region 1
remain 1
remains 1
request 1
returns 1
right 1
river 5
roamed 1
sa 3
save 1
scent 1
search 1
season 1
seated 1
sends 1
sense 2
set 2
several 1
shelter 1
silently 1
sit 1
skin 1
small 1
smoke 1
smoked 1
snow 3
snowcovered 1
snowshoes 1
so 1
soft 1
spite 1
squirrel 1
staggers 1
start 1
starving 1
still 1
store 1
strict 1
submit 1
succeed 1
succeeds 1
successfully 1
summer 1
supply 1
survival 1
survive 1
survived 1
symbol 1
tanana 1
that 4
the 62
their 13
them 5
themselves 2
then 2
there 2
these 1
they 16
think 1
this 2
through 1
time 1
to 19
track 1
tracker 1
traps 2
tribe 7
tribes 1
tributaries 1
trust 1
trying 1
two 11
untanned 1
up 4
upcoming 1
using 1
very 1
visit 1
visits 2
wake 1
wander 1
want 1
warmer 1
warriors 1
way 1
weak 1
weapon 1
where 1
which 1
while 1
who 1
wilderness 1
will 1
winter 4
with 1
women 15
word 1
young 1
yukon 1
