7338385
/m/025zmk7
/m/025zmk7
James Ellroy
1986-10
{"/m/0lsxr": "Crime Fiction", "/m/05hgj": "Novel"}
a 34
about 3
abruptly 1
across 1
act 1
addict 1
affair 1
after 6
agent 2
alcoholic 1
all 3
allow 1
ambulance 1
amenities 1
amphetamines 1
an 7
and 30
anderson 10
announces 1
apartment 2
appear 1
appears 1
apprehended 1
apprehending 1
apprehends 1
arrives 1
as 13
asking 1
assistance 1
assuring 1
attempting 1
attempts 2
barely 1
be 4
become 4
becomes 1
becoming 2
been 1
before 2
begging 1
begins 2
being 2
believing 1
belongings 1
blame 1
blend 1
blood 1
body 3
book 1
both 1
boyfriend 1
brain 1
break 2
breaks 2
broken 1
brutal 1
brutality 1
brutally 1
bulk 1
burglaries 1
but 1
by 5
calls 1
can 3
captures 1
care 1
catatonic 1
chain 1
charles 1
child 1
children 1
class 1
classmates 1
coeds 1
coherent 1
comes 2
comics 1
commit 2
commits 1
committing 1
compartments 1
conclusion 1
confesses 1
confinement 1
confronts 1
consecutive 1
contacting 1
corpses 1
count 1
course 1
covers 1
crime 1
crimes 2
criminal 1
criminals 1
deal 1
dealers 1
death 2
delves 1
desecrates 1
diary 1
different 1
discover 1
distinction 1
disturbed 1
disturbing 1
diverse 1
divorce 1
dodge 1
doing 1
drinks 1
drug 2
during 1
dusenberg 4
eleven 1
embarks 1
emotionally 1
encounters 1
encouraging 1
engage 1
engages 1
entire 2
entrenched 1
estate 1
eventually 2
evil 1
exchange 1
executed 1
existence 1
experiences 1
extended 1
factory 1
family 6
fantasies 2
fantasy 2
father 1
fbi 1
fences 1
fetishistic 1
finally 2
finance 2
finishes 1
fit 1
fixates 1
following 1
for 6
forgiveness 1
foster 1
four 1
free 1
from 6
fully 1
furious 1
further 2
gain 1
generic 1
genius 1
girl 1
gives 1
goal 1
goes 2
good 1
graduate 1
grounding 1
had 2
has 2
hastily 1
having 4
he 26
held 1
her 5
herself 1
hidden 1
high 3
hikers 1
him 9
himself 5
hippie 2
his 36
hitch 1
home 2
homes 1
house 1
how 1
human 1
hustler 1
identified 2
identifies 2
identify 1
identifying 1
immunity 2
improperly 1
in 28
incarcerated 1
increase 1
influence 1
intention 1
intercourse 2
into 7
invisibility 1
invisible 1
invited 1
involved 1
is 12
it 3
janitorial 1
jewel 1
junior 1
killer 3
killing 2
kills 2
kind 1
knowledge 1
lapd 1
lashes 1
last 1
later 1
lead 1
learning 1
leaving 1
life 5
lifestyle 1
living 1
logic 1
lucidity 1
main 1
make 1
making 1
man 1
manager 1
manipulates 1
manipulating 1
manson 4
marijuana 1
martin 1
massive 1
means 1
meet 1
member 1
memoirs 2
mental 1
michael 1
mobile 1
moment 1
more 1
motel 1
mother 2
motiveless 1
move 1
murder 3
murdering 1
murders 4
muscle 1
mutilates 1
mutilating 1
nature 1
neighbors 1
never 1
nevertheless 1
night 1
no 1
nondeathpenalty 1
nondescript 1
nonetheless 1
noticed 1
novel 1
now 2
number 2
observing 1
obsessed 2
of 32
off 1
officer 1
on 4
one 1
onenightstands 1
only 3
opportunities 1
order 1
other 1
out 2
outfitting 1
over 1
overlaps 1
own 3
paragon 1
paranoid 1
parents 1
parole 1
parts 1
passes 1
peeping 1
penalty 1
people 2
perfect 1
perfects 1
period 1
pets 1
photo 1
picking 1
pinnacle 1
placed 2
plunkett 35
police 1
possibility 1
possible 2
posters 1
prison 4
progresses 1
protect 1
prowess 1
psychologically 1
psychologist 2
psychotic 1
publisher 1
pulp 1
punishes 1
quantities 1
rage 1
rambling 1
rapemurders 1
rationalize 1
reached 1
reality 1
realizes 1
realizing 1
reasonsusing 1
reassembles 1
recently 1
relaxers 1
release 2
remaining 1
reporting 1
resolves 1
responsible 1
retribution 1
reveals 1
rises 1
road 1
robbed 1
role 1
romantically 1
ross 1
schizophrenic 1
school 4
seeks 2
sees 1
selling 1
sells 1
send 1
sense 1
sentenced 2
sentences 1
sergeant 1
serial 2
series 7
session 1
sets 1
seven 2
sex 1
she 3
shift 1
shifter 2
should 1
shroud 2
silence 1
sing 4
slits 1
smoke 1
snow 1
so 1
solace 2
solitary 1
some 1
something 1
spends 1
spill 1
spying 1
state 3
states 2
steals 2
strike 1
studying 1
successfully 1
suffers 1
suicide 3
surrenders 1
switches 1
takes 1
tasked 1
tatelabianca 1
teachers 1
team 1
techniques 2
that 13
the 27
their 4
them 3
then 4
there 1
thief 1
thomas 1
three 1
through 1
time 4
to 35
tom 1
trip 1
troubled 1
truly 1
trusty 1
turned 1
turns 1
under 1
united 1
until 1
up 5
upon 2
use 1
uses 1
using 1
van 1
version 1
via 1
villain 1
violent 1
violently 1
visions 1
waits 1
waking 1
wanted 1
wardrobes 1
watching 1
western 1
when 1
where 3
which 6
while 2
who 6
whom 1
wife 1
will 4
wisconsin 1
with 9
withdrawn 1
without 1
women 1
work 2
works 1
worthy 1
writing 1
writs 1
year 1
young 1
