4692607
/m/0chmhj
/m/0chmhj
Martin Moran
2005
{"/m/016chh": "Memoir"}
13yearold 1
a 6
about 1
abuse 1
abused 1
abuses 1
acts 1
adolescence 1
adultchild 1
all 1
alone 1
also 2
ambivalent 1
and 13
another 1
are 1
arrested 1
as 2
asleep 1
awakening 1
bag 1
be 1
bed 1
being 1
beside 1
bob 6
book 1
boy 1
broadway 2
but 1
by 1
called 1
camp 1
can 1
candor 1
chubby 1
comingofage 1
commit 1
condemns 1
continues 1
cowgirlfriend 1
crimes 1
damaging 1
described 1
describes 1
desperate 1
developed 1
discovers 1
effect 1
even 1
eventually 1
everyones 1
experience 1
eyes 1
feet 1
finally 1
finds 1
first 1
for 1
friend 2
frun 1
george 2
get 1
gives 1
go 1
grace 1
grew 1
has 1
he 3
him 2
his 6
homosexual 1
how 1
humor 1
in 2
into 2
invite 1
is 6
it 2
its 1
jailed 1
karen 1
kip 1
later 1
moran 7
morans 1
nearly 1
night 1
of 3
off 1
on 1
oneman 1
other 1
out 1
paradox 1
part 3
performed 1
play 1
puberty 1
pulls 1
ready 1
relationship 1
response 1
rise 1
seriously 1
sets 1
sex 2
sexual 2
sleeping 1
stop 1
story 1
suicide 1
tell 1
tells 1
that 4
the 12
theater 1
them 1
they 1
thing 1
through 1
to 6
touching 1
transformation 1
tricky 2
tries 2
truc 1
twice 1
up 1
very 1
wants 1
what 1
who 1
with 4
year 1
