71029
/m/0jc4c
/m/0jc4c
Kent Haruf

114 1
115 1
141 1
16 1
160s 1
167 1
176 1
177 1
186 1
1862 1
187 1
20 1
37 1
42 2
82 1
a 17
abandoning 1
accident 2
according 1
act 2
ada 5
affair 1
after 3
afternoons 1
afterwards 1
again 1
aged 1
all 4
almost 1
alone 1
also 1
an 1
and 33
angry 1
any 1
appalled 1
are 4
armed 1
around 2
as 7
asleep 1
at 2
attacked 1
attempted 1
bastard 1
be 3
bears 1
because 1
becomes 1
bed 1
begins 1
best 1
born 3
bossing 1
both 1
bound 1
breeding 1
brief 1
brother 2
bully 1
business 1
but 4
by 5
can 2
car 2
cattle 1
causes 1
chance 1
change 1
charges 1
children 2
chopped 1
chores 1
city 2
clothes 1
code 1
colorado 2
complaining 1
considers 1
cooks 1
cruel 1
dangerous 1
daughter 1
day 2
days 1
dead 1
death 1
decisions 1
deeply 1
deliver 1
demanding 1
denver 1
desperately 1
detected 1
deteriorate 1
dies 2
digging 1
dinner 1
dirt 1
do 1
does 1
doing 1
doubts 1
down 1
draws 1
during 1
duties 2
duty 2
early 1
edith 12
embarks 1
enjoy 1
enlist 1
entangled 1
escape 2
evacuated 1
eve 1
eventually 3
ever 2
every 1
except 1
expected 1
facing 1
fall 1
farm 5
farmer 1
farmhands 1
farming 2
fate 1
father 6
finally 1
fingers 1
fire 3
following 1
for 10
forces 1
freedom 1
from 4
frustrated 1
get 2
go 2
goes 1
good 2
goodnough 3
goodnoughs 2
grandmother 1
grow 1
halfbreed 2
handicap 1
hands 1
hannah 1
happen 1
hard 2
hardworking 1
harvesttime 1
has 3
have 1
having 2
havoc 1
he 5
health 1
help 1
helps 1
her 12
him 3
himself 1
his 6
homestead 1
honour 1
hospital 1
house 2
housewife 1
how 1
however 1
humour 1
husband 2
idea 1
in 20
inexperienced 1
infancy 1
inflicted 1
injuries 1
instead 1
intention 1
involved 1
iowa 2
is 12
it 2
japan 1
joining 1
journalists 1
kids 1
lasts 1
later 1
leads 1
leave 1
leaves 2
leaving 2
left 1
life 1
little 1
living 1
look 1
looking 1
lying 1
lyman 10
machine 1
makes 1
man 2
means 1
men 1
middle 1
miscarriage 1
more 2
mother 2
murder 1
narrator 4
neighbour 1
never 2
new 1
newlyweds 1
next 1
night 1
nine 1
no 1
northeastern 1
not 1
now 2
number 1
nurse 1
observes 1
of 22
off 1
old 2
on 7
one 1
only 2
opposed 1
out 1
outbursts 1
outside 1
over 1
own 1
particularly 1
peaceful 1
people 1
performs 1
personal 1
personality 1
physical 1
pieces 1
plains 1
plan 1
pleasure 1
policeman 1
prepares 1
prevented 1
prone 1
put 1
quietly 1
realize 1
rebellion 1
recovers 1
refusing 1
regressed 1
regrets 1
rejected 1
rena 2
renouncing 1
request 1
return 1
romance 1
room 1
roscoe 2
roscoes 2
roy 3
rural 1
sanders 1
seals 1
secretly 1
sees 1
selfsired 1
sense 3
seriously 1
sets 1
settle 1
severe 1
she 2
siblings 1
sixties 1
sniffing 1
so 1
soil 1
some 2
son 1
soon 5
spending 1
spring 1
start 1
started 1
starts 1
states 2
stationed 1
still 1
stuck 1
succeeds 1
take 1
taking 1
tall 1
tells 1
ten 1
terrible 1
than 1
that 3
the 39
their 9
them 1
then 2
they 4
things 1
this 1
those 2
though 1
threecourse 1
thus 1
tilling 1
to 18
together 1
too 4
tough 1
tour 1
travelling 1
treats 1
turns 1
two 4
under 1
united 2
unprompted 1
up 2
very 2
violence 1
violent 1
visit 1
waits 1
ways 1
when 3
which 3
who 7
whose 2
wife 1
will 1
with 6
without 2
work 1
world 1
would 1
wreaks 1
year 1
years 7
your 1
youre 1
