24340683
/m/07s6p9x
/m/07s6p9x
Sarah Waters
2009-04
18th 1
1th 1
a 15
abandoned 2
activities 1
after 2
alarm 1
all 1
an 2
ancient 1
and 24
any 1
anyone 1
appeared 1
appearing 1
are 1
arms 1
around 1
as 2
at 4
attacked 1
attempt 1
attention 1
avail 1
awakes 1
awoke 1
ayres 6
badly 1
be 1
becomes 1
begin 1
beginnings 1
begins 3
behave 1
believe 2
believes 1
bells 1
between 1
beyond 1
brings 1
brother 1
burns 1
but 1
by 1
call 1
called 1
calling 2
caroline 14
century 2
cheer 1
child 1
childish 1
comes 2
comfort 1
comfortable 1
committed 1
communication 1
condition 1
confused 1
continues 2
country 1
couple 1
curious 1
cutting 1
darkened 1
daughter 2
day 1
death 1
device 1
died 1
diphtheria 1
dire 1
direct 1
disaster 1
dislikes 1
divulges 1
doctor 1
dog 1
drafty 1
drink 1
drunken 1
eight 1
emptiness 1
enough 1
escape 1
estate 3
eventually 1
experiences 1
experiencing 1
family 4
far 1
faraday 7
fault 1
fell 1
few 1
financial 1
find 4
fire 1
first 2
floor 1
fluttering 1
focused 1
for 1
force 1
former 1
frantic 1
free 1
friend 1
friends 1
friendship 2
from 1
funeral 1
gentle 1
girl 1
glory 1
go 1
goes 1
hall 3
hanged 1
harm 1
harms 1
has 3
have 1
he 5
heal 1
healed 1
hear 1
heard 1
heavily 1
her 8
herself 3
him 3
his 6
home 1
hospital 1
house 4
however 2
humble 1
hundreds 2
hurled 1
husband 1
ii 1
impatient 1
in 15
indiscernible 1
inquest 1
inspect 1
investigate 1
is 10
it 4
its 2
keep 2
keeps 1
killing 1
kitchen 1
knowing 1
labrador 1
lady 1
landing 1
lands 1
large 1
later 1
learn 1
like 1
line 1
lingering 1
linking 1
listless 1
lived 1
locked 1
looking 1
maid 3
maids 4
making 1
managing 1
mansion 1
marble 1
marry 1
match 1
mauled 1
mental 1
mentally 1
middle 2
moodily 1
morning 1
mother 2
mrs 5
muchloved 1
must 1
night 4
no 2
not 1
nursery 2
objects 1
of 11
off 2
old 1
on 6
one 2
onto 1
open 1
or 2
other 1
out 3
party 1
passed 1
phone 1
physically 1
pilot 1
place 1
plans 2
platonic 1
possibly 1
potential 1
pounds 1
previously 1
realise 1
recovers 1
reports 1
retriever 1
rings 1
roderick 4
romance 1
room 3
said 1
saw 1
scaring 1
second 1
sell 1
selling 1
set 1
several 1
shadows 1
she 7
simply 1
sister 1
six 1
so 1
something 1
sometimes 1
sound 3
sounds 1
spots 1
strain 1
straits 1
strikes 2
stupor 1
susan 3
take 1
taken 1
talk 1
that 8
the 39
their 5
them 2
then 1
these 1
they 3
though 2
three 1
throw 1
time 1
times 2
to 29
treating 1
treats 1
tries 1
trying 1
tube 1
two 1
unable 3
uninterested 1
unmarried 1
unseen 1
up 1
upstairs 1
visit 1
walls 2
war 1
was 1
waver 1
wedding 2
weeks 1
well 1
what 1
when 2
where 2
who 3
windows 1
with 4
without 2
world 1
wouldbe 1
wounds 1
writing 1
years 2
you 1
young 2
