968251
/m/03v898
/m/03v898
Nicholas Monsarrat
1951
13 1
143 1
a 13
abandon 1
able 1
action 1
adds 1
after 2
all 2
allied 1
and 19
any 2
are 6
as 2
at 1
atlantic 1
available 1
beautiful 1
bennett 1
black 1
blow 1
built 1
bullying 1
but 2
by 1
called 1
canned 1
carries 1
castle 3
class 3
cold 1
command 2
commander 1
commences 1
compass 1
concerns 1
constant 1
continue 1
convoy 3
convoys 2
corvette 2
could 1
crew 3
cross 1
cruel 1
dangerous 1
day 1
despite 1
determination 1
die 1
difficult 1
disadvantages 1
disciplinarian 1
due 1
duty 2
encountering 1
ends 1
endure 1
ericson 5
escort 4
especially 1
experience 1
experienced 1
fear 1
ferraby 1
few 1
fictitious 2
fierce 1
film 1
finally 2
first 2
flowerclass 1
for 2
forced 1
freezing 2
frigate 1
from 1
gain 1
gaining 2
george 1
german 3
given 1
growing 1
guard 1
hand 1
hard 1
have 1
health 1
his 1
hms 3
huge 1
importance 1
in 9
initial 1
is 4
junior 1
kills 1
kinds 1
knowledge 2
leaves 1
lieutenant 2
lieutenantcommander 2
lockhart 5
maintaining 1
many 1
mature 1
mean 1
men 1
merchant 1
monotonous 1
most 1
mostly 1
naval 1
navy 5
nearly 1
new 3
newly 1
next 1
nights 1
no 1
now 3
number 1
oblivion 1
of 12
officer 1
officers 3
often 1
on 3
one 2
only 1
ostensibly 1
others 1
over 1
particularly 1
patience 1
penchant 1
petty 1
pitch 1
pitching 1
plotline 1
poignant 1
port 1
portchester 1
portrayed 1
promoted 1
promotion 1
provide 1
reasons 1
recalled 1
rescued 1
returns 1
river 2
rolling 1
romance 1
rose 1
routine 1
royal 4
saltash 3
sausages 1
sea 1
second 1
secondary 1
service 2
services 1
several 2
ship 7
ships 1
shirking 1
sink 1
smallest 1
snorkers 1
some 1
somehow 1
station 1
storms 1
strain 1
sublieutenants 1
submarine 1
submarines 1
sunk 1
surrendered 1
take 1
that 2
the 39
their 2
them 2
these 1
they 4
through 1
times 2
to 15
torpedo 1
torpedoed 1
tradition 1
two 1
uboat 1
uboats 1
until 1
up 1
upper 1
use 1
vessels 1
vital 1
war 1
waters 1
waves 1
way 1
weather 1
were 1
when 1
with 3
women 1
won 1
work 2
