613307
/m/02wlj1
/m/02wlj1
Thomas Hughes
1857
{"/m/09tvt3": "School story", "/m/0dwly": "Children's literature", "/m/04bc5fq": "English public-school stories", "/m/04bc5fy": "Boys' school stories", "/m/05hgj": "Novel"}
a 15
academically 1
according 1
acquaintance 1
acts 1
adults 2
after 3
all 1
an 2
and 17
are 2
area 1
arnold 2
around 1
arrival 1
arthur 4
as 1
at 6
athletic 1
attitudes 1
become 2
book 2
boy 2
boys 3
brilliant 1
brown 2
bully 1
bullying 1
burned 1
but 1
by 1
care 1
chapel 1
chapter 1
chapters 1
cheat 1
childhood 1
class 1
classmate 1
comical 1
comparison 1
contains 1
contrast 1
cricket 1
deal 1
death 1
deeply 1
defeat 1
deliberately 1
described 1
detail 1
develop 1
diggs 1
do 1
dr 1
due 1
dying 1
each 1
early 1
east 3
eden 1
elevenyearold 1
energetic 1
england 2
environs 1
epidemic 1
epilogue 1
eventually 1
experienced 1
experiences 1
favourite 1
feast 1
feelings 1
fever 2
fight 1
fire 1
first 3
flashman 2
for 1
frail 1
freely 1
friends 1
front 1
gauche 1
gentlemen 1
george 1
gets 1
gives 1
half 1
hand 1
harry 1
he 3
headmaster 1
hears 1
hellish 1
help 2
him 1
his 8
historical 1
home 2
homework 1
horse 2
in 11
including 1
increases 1
influences 1
intellectual 1
intensity 1
into 2
is 6
its 2
kind 1
kindhearted 1
later 1
live 1
local 1
looked 1
loving 1
makes 1
match 1
midterm 1
more 3
much 1
named 1
nearly 1
new 1
nightly 1
norman 1
nostalgic 1
not 1
novel 1
of 19
older 1
on 4
other 1
over 1
part 1
picture 1
pious 1
play 1
pony 1
prayers 1
private 1
protect 1
race 1
refusing 1
return 1
revealing 1
rugby 2
rules 2
saxon 1
say 1
scene 1
school 8
scud 1
second 2
sensitive 1
sent 1
serves 1
setting 1
shows 1
socalled 1
society 1
soon 1
sort 1
starts 1
stubborn 1
sweepstake 1
targets 1
than 2
that 1
the 26
their 3
they 1
this 1
thomas 1
though 1
ticket 1
time 1
to 7
tom 11
towards 1
transferred 1
triumph 1
unruly 1
unwritten 1
vale 1
valleys 1
victorian 1
village 1
wanders 1
when 2
where 1
which 1
white 1
who 2
with 4
year 2
years 1
young 2
