15051808
/m/03h5z6j
/m/03h5z6j
Ellen Hopkins
2007
{"/m/03mfnf": "Young adult literature", "/m/02xlf": "Fiction"}
a 2
abandoned 1
about 1
abused 1
achieved 1
after 1
all 2
alone 1
amazing 2
and 4
angel 1
anybody 1
anything 1
are 1
at 2
be 1
beyond 1
blade 1
boy 1
boyfriend 1
boyfriends 1
broken 1
brother 1
but 1
by 1
can 2
choice 1
comfort 1
conner 1
connor 2
control 1
could 1
crazy 1
deal 2
death 1
decision 1
demons 1
died 1
different 1
does 1
each 1
ended 1
eyes 1
family 3
father 2
for 1
force 1
friend 1
going 1
grades 1
grew 2
handsome 1
hardships 1
has 3
he 2
help 2
her 6
him 2
his 8
hooks 1
hospital 1
however 1
hurt 1
importantly 1
impossible 1
impulse 1
in 3
intersect 1
is 5
it 1
killing 1
leave 1
life 1
like 1
little 1
live 1
lives 2
magazines 1
mainly 1
most 1
mother 4
move 1
of 5
on 1
one 2
only 4
or 1
other 1
overseas 1
pain 1
parents 2
perfect 2
person 1
personal 1
phillip 2
pills 1
poster 1
previous 1
psych 1
pull 1
put 1
seems 1
sexually 1
sister 2
son 1
sports 1
standards 1
starts 1
status 1
stop 1
stories 1
streets 1
supposed 1
swallow 1
take 1
talking 1
teens 1
that 2
the 14
their 5
themselves 1
they 3
three 2
to 12
tony 5
top 1
trigger 1
trust 1
try 1
up 5
vanessa 3
was 3
watching 1
when 3
while 1
will 2
wish 1
with 3
worry 1
wrist 1
