16230977
/m/03wdkzw
/m/03wdkzw
Mary Norton
1961
a 5
able 1
again 1
an 1
and 3
are 2
as 1
attic 1
attraction 1
back 1
balloon 1
basket 1
be 1
before 1
being 1
by 1
call 1
can 1
cannot 1
clock 1
clocks 1
couple 2
create 1
discovered 1
display 2
family 2
find 1
for 1
fordham 2
freedom 1
friend 1
great 1
have 1
help 1
home 1
imprisoned 1
in 3
intention 1
into 1
kidnapped 1
knowing 1
lifts 1
little 2
live 1
materials 1
miniature 1
model 2
moving 1
new 1
of 5
on 2
opens 1
out 1
outdoors 1
own 1
place 1
put 2
relocated 1
risk 1
rival 1
search 1
season 1
secret 1
spiller 1
take 1
that 1
the 9
their 1
them 1
they 5
through 1
to 7
tourist 1
try 1
use 1
village 3
were 1
when 1
where 1
which 1
who 1
window 1
winter 1
with 2
