22053108
/m/05p4ghv
/m/05p4ghv
John Wilson
2005
{"/m/02p0szs": "Historical fiction"}
142 1
17yearold 1
18yearold 1
a 10
able 2
about 2
advanced 1
alive 1
all 1
allegiance 1
although 2
among 1
an 2
and 12
andropov 1
another 1
any 1
apartment 1
are 1
army 1
as 3
at 3
attached 1
away 2
back 1
battle 2
be 2
become 2
becomes 1
been 1
being 3
believes 2
biggest 1
bodies 2
bothered 1
bravery 1
brings 1
brother 1
building 1
but 1
by 4
called 1
cannot 1
case 1
casting 1
celebrate 1
cellar 2
child 1
christmas 2
city 1
come 1
commanding 1
comrades 1
conflict 1
confused 1
conrad 3
cross 1
day 2
death 2
defeated 1
defying 1
died 1
discovery 1
division 1
dream 2
dreams 1
during 1
eightyearold 1
end 1
entangled 1
every 1
evil 1
excavated 1
expressed 1
faces 1
family 1
famous 2
fascists 1
father 3
feels 1
fellow 1
first 2
five 1
flashbacks 1
for 1
former 1
found 1
four 2
from 1
further 2
german 1
germans 1
germany 2
good 1
government 1
guilty 1
gunner 1
hardened 1
has 2
have 1
he 8
hero 1
heroes 1
his 13
home 2
homeland 3
hometown 1
horrors 1
ilyich 1
in 10
individuals 1
into 1
investigate 1
iron 1
is 10
ivans 1
josef 1
known 1
lack 1
large 1
leader 1
litter 1
lives 1
machine 1
mainly 1
makes 1
many 1
middle 1
mother 1
mysterious 1
named 1
nazi 1
not 1
of 20
officer 1
older 1
on 1
one 2
other 1
panzer 1
patriotic 2
patriotism 1
pavlova 1
place 1
pledged 1
police 1
presentday 1
progresses 1
proud 1
quickly 1
recently 1
recipient 1
ridding 1
ruins 1
russian 3
russians 2
scavenging 1
sergei 4
series 1
seventyyearold 1
slips 1
sniper 2
sometimes 1
soon 2
soviet 1
spending 1
stalingrad 4
steppe 1
steps 2
still 1
story 2
streets 1
tank 1
tell 1
that 5
the 25
their 2
then 1
they 1
think 1
this 3
thousands 1
through 2
to 11
told 1
troops 1
two 1
union 1
vasily 5
verdun 1
veteran 1
volgograd 2
wage 1
war 4
was 4
way 1
when 1
which 1
while 1
who 2
whose 1
why 1
will 2
wishes 1
with 3
woman 1
wounds 1
wwi 1
yelena 2
yet 1
