14639741
/m/03grjfr
/m/03grjfr
Ann Radcliffe
1791
{"/m/039vk": "Gothic fiction", "/m/01qxvh": "Romance novel"}
1642 1
a 31
abbey 10
able 1
about 2
across 1
actually 3
addition 1
adeline 42
admitted 2
adopted 1
affair 2
affection 1
afraid 2
after 8
again 1
against 1
agreement 1
agrees 1
ailing 1
alarmed 1
all 5
allow 1
allows 1
already 1
also 4
an 5
ancient 1
and 54
animal 1
annette 2
another 1
any 2
anyone 1
appearance 1
appeared 1
approaches 1
are 7
arnaud 2
as 6
assault 1
assisted 1
at 8
atonement 1
attempt 1
attempts 3
attendants 1
attentions 1
auboine 1
avoiding 1
away 1
back 1
barely 1
bats 1
be 5
beautiful 1
became 1
because 2
become 1
becomes 2
bed 1
bedrooms 1
been 5
before 3
behind 2
being 4
believe 1
believing 1
bequeathing 1
between 2
beyond 1
birth 1
bosse 1
breaks 1
brings 1
broken 1
brother 1
but 8
by 11
can 2
captive 1
carriage 4
charges 1
check 1
chest 1
circumstances 1
civilities 1
claims 1
clara 4
claras 1
climate 1
climbing 1
close 1
closer 1
come 3
comes 1
commission 1
committed 1
commotion 1
concoct 1
condition 1
confesses 1
confession 1
confessor 1
confides 2
consent 2
consequences 1
considerable 1
consisted 1
constance 1
consumption 1
continued 1
continues 1
conversation 1
conversations 2
convey 1
conveyed 1
convinced 1
could 2
creditors 4
crime 1
crimes 1
currently 1
danger 2
dark 2
darkened 1
day 1
days 1
de 14
death 3
deceived 1
deed 1
dense 1
departure 1
depraved 1
deserting 1
developments 1
did 1
different 1
dire 1
discovered 1
discovers 3
discovery 1
discussing 1
dispute 1
distance 1
distress 1
distressed 1
do 1
domestic 1
door 3
dragged 1
du 1
during 2
each 1
efforts 1
either 2
else 1
elude 1
enormity 1
entangled 1
escape 4
essentially 1
established 1
esteem 1
eventually 3
everyone 3
except 1
execution 1
exits 1
face 1
facing 1
failing 1
fake 1
fallen 1
family 9
father 3
fatigue 2
fears 4
fight 1
finally 2
find 2
findings 1
finds 7
first 1
fix 1
fixing 1
fleeing 1
follow 1
follows 1
food 1
foot 1
for 14
forest 2
formally 1
fortune 1
forward 1
found 1
fragmented 1
freedom 1
friends 1
from 4
full 1
future 1
general 1
gentleman 1
girl 1
given 1
giving 1
gloomy 1
go 1
got 1
greeting 1
group 1
growing 1
guilt 1
had 9
hand 1
hands 1
happened 2
happy 1
has 8
have 4
having 1
he 38
health 2
heeding 1
held 1
help 1
her 29
here 2
hiding 1
him 4
himself 1
his 25
hope 1
hoping 1
horror 1
horseback 1
horses 1
hostile 1
hours 1
house 4
however 4
husband 1
i 3
identity 1
if 3
ignominious 1
ill 1
illness 1
immediately 1
imminent 1
impending 1
imperfect 1
imprisoned 3
imprisonment 1
in 28
inclined 1
indisposition 1
informs 3
inhabitable 1
inhabitants 1
initially 2
inn 1
inquires 1
inquiring 1
inside 2
inspection 1
instead 2
interior 1
into 6
introduce 1
is 47
issue 1
it 7
itself 1
jacques 1
jealous 1
just 2
kill 1
killed 1
knew 2
knocking 1
la 20
lady 1
land 1
last 1
later 2
leave 2
left 2
legacy 1
legible 1
leloncourt 2
lies 1
life 3
light 1
like 1
little 1
locked 1
long 1
longer 2
losing 1
louis 9
love 2
luc 7
lucs 1
madame 10
madames 1
made 1
make 2
making 2
male 1
manuscript 4
many 1
marquis 22
marriage 1
marry 1
martigny 1
matter 1
may 1
meanwhile 2
method 1
mice 1
mind 1
mistress 2
monsieur 6
montalt 2
more 4
most 1
motte 12
much 1
murder 1
murdered 1
must 4
myself 1
named 1
near 1
necessary 1
never 1
news 1
next 1
night 2
no 1
not 8
notaries 1
notes 2
nothing 1
notice 1
notices 1
notwithstanding 1
now 3
numberless 1
nursed 1
of 42
officer 2
on 8
once 2
one 7
only 2
or 4
out 5
over 1
overhearing 1
owls 1
own 2
owner 1
parents 1
paris 4
particularly 1
passed 1
passes 1
passing 1
path 1
people 1
period 1
perpetrator 1
person 1
persons 1
peter 12
peters 2
peyrou 1
phillipe 1
pierre 29
pierres 1
pines 1
placed 1
plan 1
point 2
poisons 1
potentially 1
potion 1
power 1
preparing 1
present 1
presented 1
presently 1
pressed 1
pressure 1
previously 2
prior 2
private 1
probably 1
proceeds 1
procure 1
promptly 1
purchase 1
pursued 1
quickly 1
rather 1
reach 1
reaches 1
reading 2
reality 1
realizes 2
really 1
recent 1
recovers 1
reference 1
refuge 1
refusal 1
regiment 4
relate 1
relates 2
relation 2
released 1
relocate 1
remainder 1
remained 1
remembrance 1
reputation 1
rescue 1
residence 1
resolved 1
rest 1
return 3
returned 2
returning 1
riders 1
rights 1
robbery 1
room 2
rooms 2
ruffian 1
ruined 1
ruining 1
runs 1
sacrifice 1
same 2
save 1
say 1
saying 1
scenes 1
searching 1
see 1
seeks 1
seen 1
send 1
sends 1
sent 3
servants 3
service 1
settle 1
several 1
she 9
should 1
shows 1
shrunk 1
sick 1
sight 1
since 1
sister 1
sisters 1
situation 1
skeleton 1
sleep 1
small 1
so 1
some 3
someone 1
sometime 1
son 2
soon 5
speak 1
speaking 1
spend 1
spending 1
spends 1
spite 1
st 1
states 1
stay 2
stays 1
still 2
stole 1
stop 1
stormy 1
stranger 7
struggling 1
subject 1
suggests 1
superior 1
supplies 2
supposed 2
swallowed 1
swear 1
take 4
taken 3
tell 1
terrifying 2
testified 1
than 1
that 19
the 111
their 5
them 3
themselves 1
then 1
theodore 12
theodores 1
there 1
these 1
they 7
theyre 1
thinking 1
this 10
through 2
throughout 1
thus 2
tide 1
time 8
times 1
to 65
too 1
tortured 1
toward 1
town 3
trampling 1
trap 1
travel 1
treat 1
trial 3
tricked 1
trouble 1
troubles 1
truth 1
two 3
ultimately 1
unable 3
unaware 1
unbeknownst 1
unfortunately 1
unknown 1
unlocked 1
unrecognizable 1
until 1
upon 4
visions 1
wagon 2
waiting 1
walls 1
wants 2
warn 1
warned 1
warnings 1
warns 1
was 5
waylaid 1
web 1
well 2
were 3
what 3
wheel 3
when 5
where 5
which 3
while 7
who 12
wife 4
will 2
window 1
wish 1
with 17
without 1
witnesses 1
woodland 1
worst 1
would 3
wounding 1
wounds 1
woven 1
writer 1
written 1
wrongdoings 1
years 1
yet 1
yielded 1
you 4
young 2
your 1
