2527894
/m/07l3hl
/m/07l3hl
Dave Wolverton

a 6
against 1
agricultural 1
also 2
an 1
and 5
apprentice 1
assigned 1
attacked 1
bandomeer 4
become 1
by 2
catches 1
causes 1
close 1
corporation 1
corps 1
creatures 1
dactyl 1
dodge 1
during 1
emergency 1
eventually 1
faction 2
factions 1
fails 1
fight 1
finds 1
for 1
gain 1
glimpses 1
group 1
hard 1
he 3
hijacked 1
holds 1
however 1
hutts 1
importantly 1
is 8
jedi 3
jinn 1
joining 1
kenobi 1
landing 1
launch 1
master 2
mineral 1
mining 2
mission 1
moon 1
most 2
must 2
obiwan 3
of 3
offworld 5
on 6
once 1
other 1
out 1
pirates 1
planet 1
potential 1
predators 1
quigon 3
reconsider 1
repaired 1
required 1
rival 2
ship 5
soon 1
starts 1
stash 1
stopped 1
the 11
them 1
this 1
threats 1
to 9
together 2
travel 1
truce 1
trying 1
two 1
uprising 1
when 1
which 2
whiphids 1
work 1
