5406188
/m/0dkdy6
/m/0dkdy6
Paul Cornell

{"/m/014dfn": "Speculative fiction"}
20thcentury 1
26th 1
a 41
abandon 1
abilities 2
able 1
about 5
absorbed 1
accepts 1
access 1
ace 38
across 2
action 2
addition 1
again 2
against 1
ago 1
agree 1
agrees 1
alien 3
all 2
alone 1
along 2
already 1
also 5
although 2
always 1
an 5
and 70
angrily 1
announces 1
another 1
anyway 1
apologise 1
appears 3
approaching 3
aradath 1
arch 1
archeologists 1
archetypical 1
archshaped 1
archway 1
are 5
area 1
arguments 1
arm 1
arms 1
arrive 1
as 16
asks 1
assures 1
at 12
atmosphere 1
attack 5
attacked 1
attacker 1
attacks 1
attempt 1
attend 1
attentions 1
authorities 1
back 5
background 1
backup 1
basement 1
bases 1
be 3
beach 1
beating 1
because 1
become 1
been 4
before 5
beginning 1
behind 3
being 2
believes 1
beneath 1
benny 13
bernice 3
bidding 2
big 1
billions 1
bit 1
bodies 2
body 9
book 5
brainwashing 1
break 2
breaks 2
brother 1
built 1
bumps 1
burn 1
but 15
by 12
call 2
called 4
calls 1
camp 4
can 6
cannot 1
car 1
carrying 1
case 1
cemetery 1
century 1
chamber 1
champion 1
chance 1
changes 1
charge 1
childhood 1
christopher 9
christophers 2
church 8
churches 1
civilian 1
claims 1
cloud 1
clues 1
comes 1
comfort 1
coming 1
community 1
companion 1
concepts 1
confident 1
confirms 1
confronted 1
confusion 3
consciousness 1
constructed 1
contact 1
contains 1
convert 1
convince 1
corpse 1
corpses 1
country 1
crash 1
creature 4
creatures 2
crypt 1
cypher 1
dalek 2
daleks 1
dead 5
death 6
decay 1
decides 1
defenseless 1
demands 1
describe 1
designated 1
despite 3
destroy 2
destroying 1
did 1
dies 1
dig 3
displeased 1
disrupt 1
distance 1
do 3
doctor 35
does 1
doesnt 3
doing 1
done 1
draconia 1
drafted 1
dream 1
drifts 1
driving 1
drove 1
drug 1
drugs 1
dying 2
earth 3
ecosystem 1
embedded 1
emerges 1
end 1
enemies 1
enough 1
enters 2
escape 4
eventually 1
everyone 4
evil 2
except 1
expected 1
experiences 1
experimental 1
expert 1
explain 1
explains 1
explodes 2
explosives 2
extinct 1
eyes 1
falls 2
fearing 1
fears 1
feed 1
feelings 1
felsecar 2
fights 1
filled 1
find 3
finds 1
fire 2
first 1
flee 1
flew 1
following 1
