1194752
/m/04g9mt
/m/04g9mt
Terry Goodkind
1999-03-15
a 30
abilities 1
above 1
accomplice 1
accomplish 3
according 1
actions 1
actually 1
additive 2
after 1
age 1
agonizing 1
aide 1
alessandra 3
all 3
allow 1
almost 1
along 2
also 5
alter 1
an 2
ancestral 1
ancient 1
and 42
ander 7
anderian 1
anderith 19
anders 2
ann 8
any 1
anything 1
apologies 1
appearance 1
are 7
army 3
around 1
arrive 1
arriving 1
art 1
as 4
ascend 1
at 5
attack 1
attempt 2
attempts 2
avail 1
aydindril 2
back 2
baka 1
ban 1
banish 4
banishing 1
banishment 1
be 4
beaten 2
because 2
become 1
becoming 3
been 2
before 2
begin 2
beginning 1
begins 1
being 1
beings 1
bellshaped 1
bertrand 2
betray 2
betrayal 1
betrays 1
bidding 1
blackhaired 1
blind 1
body 1
bond 1
boot 1
both 3
bottle 2
bought 1
breaking 1
bringing 1
but 5
by 18
calls 1
campbell 7
can 3
captive 1
captured 1
cara 4
catches 1
cause 3
causing 1
chaillu 2
chair 1
chanboor 6
chase 1
chasing 1
chicken 1
chickenthatisntachicken 1
child 2
children 1
chimes 19
choice 1
choose 1
city 1
claims 1
collect 1
combination 1
come 2
comes 3
completely 1
confides 1
conflicting 1
connected 1
connections 1
conquers 1
conscience 1
consummates 1
continuing 2
control 1
corps 1
counters 1
create 1
creator 1
culture 2
dalton 12
dark 3
darkveined 1
deactivated 1
death 2
deaths 1
decides 1
deduces 1
defeated 1
defenses 1
defensive 1
demise 1
departs 1
desire 1
destroy 1
destruction 1
determines 2
dharan 1
dirtch 4
disease 1
disrespected 1
disturbed 1
does 2
doesnt 1
dominie 4
dont 1
doomed 1
double 1
drain 1
dream 2
du 2
due 1
dumb 1
early 1
easily 1
else 1
elsewhere 2
emissary 1
emperor 3
empire 2
empowered 1
end 1
enslave 1
enslaved 1
enslavement 1
enslaving 1
ensure 1
even 2
events 1
eventually 2
fact 2
fail 1
failing 1
fails 1
faith 1
fantasy 1
fear 1
fearful 1
fearing 1
feeble 1
figurehead 1
finally 2
find 1
finds 1
first 6
fitch 7
flee 1
food 1
for 7
forced 1
form 1
forth 1
founder 1
freedom 1
frees 1
friend 2
from 9
front 1
gaining 1
giant 1
given 1
gives 2
giving 1
glimpse 1
goals 1
going 1
good 1
goods 1
govern 1
grace 1
gratitude 1
group 1
guards 2
guise 1
had 1
hakens 4
hand 1
has 5
have 5
having 1
he 20
head 1
heal 2
healing 1
help 1
her 11
herself 2
hidden 1
him 2
himself 1
his 14
however 6
idea 1
if 2
immediately 1
imminent 1
imperial 9
in 19
incurable 1
infidelity 1
infiltrates 1
infiltrating 1
informs 2
instead 1
intent 1
interference 1
into 3
introduced 1
is 24
it 4
its 1
jagang 8
joining 1
joins 1
joseph 2
kahlan 11
keep 4
kept 1
kill 2
killed 1
kills 2
kitchen 1
knowledge 1
known 1
leave 1
leaves 1
leaving 1
left 1
let 1
light 3
line 1
little 1
livid 1
living 1
longtime 1
look 1
loose 1
lord 1
lore 1
loses 1
luck 1
lurk 2
lying 1
machiavellian 1
made 1
magic 9
makes 1
mana 1
manages 2
many 1
marching 1
meanwhile 2
merchants 1
messenger 1
messengers 2
midlands 1
minister 3
more 2
morley 1
most 2
mud 1
murder 1
must 1
nation 1
naturally 2
nearly 1
necessity 1
new 1
no 1
not 3
null 1
oath 1
obedience 1
obtain 2
obtains 1
occupy 1
of 59
off 6
offering 1
offers 1
on 7
once 1
one 1
only 1
oppression 3
or 2
order 12
out 4
pair 1
pass 1
passes 1
pathway 1
people 5
person 1
personifies 1
persuades 1
piece 1
placed 1
plans 1
plea 1
plots 1
politics 1
pondering 1
pope 1
position 1
possession 1
possibly 1
power 1
powers 1
presence 1
present 2
pretends 1
prize 1
promised 2
promotion 1
protect 1
prove 1
pushes 1
race 1
rahl 1
rank 1
rate 1
raven 1
real 1
reality 1
realize 1
realizes 2
recalls 1
recognize 1
recover 1
recruited 1
redeem 1
redhaired 1
relates 1
released 1
religious 1
remedy 1
require 1
rest 1
results 1
retribution 1
retrieve 1
returned 1
returns 1
revenge 1
reverts 1
richard 27
ruthlessness 1
safe 1
safely 1
same 1
savage 1
save 1
saved 1
scouts 1
scullion 1
seeker 2
seemingly 2
sees 1
sell 1
sends 1
sent 1
separate 1
seriously 1
set 4
sets 3
shared 1
she 9
sheer 1
similar 1
since 1
sister 3
sisters 6
sleeping 2
slow 1
smashing 1
smothers 1
so 2
soldiers 2
solid 1
some 1
soon 1
soul 6
souls 1
sovereign 3
special 1
specifically 1
spell 1
spirit 2
spreads 1
squad 1
stein 4
step 1
stone 1
stopped 1
story 1
strange 1
stricken 1
struck 1
structures 1
struggles 1
studied 1
subject 1
subtractive 1
success 1
successful 1
summoned 1
surmised 1
surrender 1
sway 1
sways 1
sword 9
taken 1
taking 1
task 1
tasks 1
taught 1
tells 1
temple 1
tent 1
teresa 4
terrible 1
than 1
that 21
the 131
their 2
them 10
themselves 2
there 1
they 6
this 7
though 1
threat 1
thus 1
time 2
to 69
towards 1
transformation 1
travels 1
treasures 1
troops 1
trouble 1
truly 1
truth 8
turn 2
ultimately 1
unable 1
unaware 1
under 4
undergoes 1
underhanded 1
understand 2
undertrained 1
underworld 1
unfortunate 1
unless 1
until 1
used 1
uses 1
using 2
values 1
venereal 1
vengeance 1
village 1
violent 1
visiting 1
vote 2
wait 1
waiting 1
walker 2
want 1
wants 1
way 2
ways 2
we 3
web 1
wedding 1
were 2
westland 2
when 10
where 1
whether 1
which 3
while 3
who 6
wife 4
will 7
willingly 1
winds 1
with 16
within 2
wives 1
wizard 1
wizards 1
woman 1
wooed 1
word 1
work 1
world 4
worst 1
would 2
wounds 1
wrath 1
zedd 10
