10448894
/m/02qdgck
/m/02qdgck
Lisa Yee
2007-04-01
{"/m/0dwly": "Children's literature", "/m/01j1n2": "Coming of age"}
112 1
672 1
a 21
ability 1
able 3
about 8
act 1
actually 1
after 4
alice 10
all 3
allendale 1
almost 1
along 1
also 2
although 1
always 4
alyssa 1
an 4
and 39
anew 1
another 2
any 1
anymore 1
anyone 1
anything 2
apart 1
apologized 1
apologizes 1
are 1
arent 1
ariana 1
ariel 1
arises 1
articles 2
arts 1
as 2
asks 1
assignment 1
at 5
ateam 1
athletic 1
attempts 1
attend 1
awful 1
awkward 1
back 4
backup 2
ball 1
band 2
barrier 1
basketball 1
be 3
beats 1
because 5
become 3
been 4
before 2
being 1
believed 1
best 2
better 1
beyond 1
bonds 1
boring 2
boy 1
boyfriend 1
boys 1
break 3
briefcase 1
buddies 1
busy 1
but 6
buy 1
by 2
california 1
call 1
called 1
calls 2
can 2
cant 2
card 3
cares 1
carried 1
caused 1
certificates 1
cheek 1
cheer 1
chinese 1
chose 1
clique 2
closer 1
clothing 1
coach 1
coast 1
comes 1
comparing 1
completes 1
confirm 1
conversation 1
could 2
couldnt 1
country 1
cream 1
credit 3
dad 2
daughterly 1
day 1
days 1
deadpan 1
decide 1
decides 2
declares 1
definitely 1
definition 1
dematerialize 1
despite 1
diary 1
didnt 1
dieting 2
different 1
diplomas 1
disgusted 1
divorce 1
divorced 1
do 2
does 2
doesnt 2
doing 1
dont 1
down 1
dreams 1
drone 1
during 2
dynamics 1
each 4
east 1
ebers 1
eg 1
either 1
embarrass 1
emily 38
encouraged 1
encourages 1
ends 1
endure 1
engage 1
entire 3
error 1
especially 1
even 5
every 1
everyday 1
everything 4
excruciating 1
expensive 1
experience 1
extremely 1
eyebrows 1
face 1
fact 1
failing 1
fakes 1
family 1
fat 1
fate 1
father 4
figure 2
figured 1
final 1
finally 5
find 2
finds 1
first 4
fit 1
for 16
forced 1
former 1
fortunately 1
friend 4
friendless 1
friends 4
from 2
funloving 1
genius 2
get 2
gets 1
girl 5
girlfriend 1
girls 2
give 1
go 1
goes 1
good 2
gowin 1
grader 1
grandma 1
gym 1
had 7
handing 1
handsome 1
harm 1
has 2
have 2
he 6
heartbroken 1
her 36
here 1
herself 1
hippie 1
his 3
hit 1
hits 1
home 2
homeschooled 2
house 1
how 2
however 3
humans 1
humor 1
hurt 1
i 2
ice 1
identical 1
if 1
im 1
in 12
insists 1
instantly 1
insults 1
intellectual 1
interest 1
intimate 1
iq 1
is 25
isnt 4
it 11
ive 1
jersey 1
join 1
journalism 1
journalist 1
julie 8
just 3
kisses 1
know 1
labeled 1
language 1
large 1
learn 1
learns 1
left 1
letter 1
lie 2
lied 1
life 2
like 1
liked 1
live 2
lived 1
look 2
looked 1
loved 2
luckily 2
maddie 2
make 2
makeover 1
mall 1
may 1
mean 1
meek 1
meet 1
meets 3
message 1
millicent 3
millie 16
min 3
mins 1
misjudged 2
models 1
mom 1
moody 1
more 2
morning 1
mother 4
move 1
moving 2
mr 1
mrs 1
much 1
museum 1
must 1
needs 1
net 1
never 5
new 1
newest 1
newspaper 1
next 1
nice 2
no 2
noble 1
normal 2
not 5
now 3
of 16
off 1
old 1
on 5
one 6
only 5
or 3
other 5
out 5
over 1
own 1
parents 1
paris 1
party 1
pedicure 1
perfect 2
persuade 1
pieces 1
place 1
plaques 1
play 1
pleasant 1
plucking 1
plus 3
popular 6
possible 1
pressured 1
prestigious 1
problem 2
purchase 1
purses 2
puzzle 1
quest 1
rancho 1
rather 1
real 1
realizes 1
realizing 1
really 1
reason 1
reflect 1
relationship 2
reputation 1
right 1
road 1
room 1
rosetta 1
safely 1
said 1
saying 1
says 1
school 4
second 2
sell 1
sense 1
serious 1
sessions 1
seventh 1
several 1
she 29
shop 1
short 1
side 1
signed 1
singers 3
six 3
sleepover 3
slow 1
smart 1
smooth 1
so 5
socalled 1
solved 1
some 1
someone 1
something 1
sorely 1
sorryabout 1
spent 1
stanford 5
start 2
started 1
starts 1
sticks 1
still 2
stop 1
stopping 1
stupid 1
summer 6
surprisingly 1
sweet 2
takes 1
talk 2
talking 1
talky 1
tax 1
team 1
tear 1
telephone 1
tell 1
that 20
the 49
their 1
them 1
themselves 1
then 1
there 1
these 1
they 4
thinks 2
this 3
though 5
thought 1
through 1
thus 1
time 3
timing 1
tissues 1
to 51
together 1
tokens 1
tolerance 1
torture 1
touring 1
triple 2
trophies 1
true 3
truth 1
turned 1
tutor 1
tutored 1
twist 1
two 3
type 1
ugly 2
ultrathin 1
uncomfortable 1
uncovers 1
unlike 1
up 5
used 1
using 1
vacation 1
very 1
volleyball 5
wanted 2
was 9
wasnt 1
way 5
wendy 6
what 2
when 5
where 2
whereas 1
which 1
whisked 1
who 8
why 3
will 1
wise 1
with 14
wong 3
wont 1
words 1
worse 1
would 2
year 1
you 1
