24227910
/m/07k4mm9
/m/07k4mm9
Isobelle Carmody
2011-10-31
a 4
accepting 1
and 1
annihilation 1
apocalypse 1
are 1
as 1
at 1
beforetime 1
blacklands 1
both 1
but 2
can 1
city 1
computermachine 1
condemn 1
cost 1
day 1
dearly 1
desitination 1
dreams 1
elspeth 2
fail 1
far 1
find 1
for 3
forever 1
forgotten 1
found 1
from 2
go 1
gordie 1
happiness 1
has 2
haunts 1
her 7
humanhating 1
imagined 1
in 2
is 2
land 2
last 1
lead 1
leave 1
lost 1
love 1
midst 1
mission 1
mutant 1
nothing 1
of 2
on 1
only 1
or 1
pack 1
planning 1
prepared 1
quest 1
rare 1
receives 1
red 1
refuse 1
second 1
sentinel 1
she 4
stop 1
summons 1
the 6
they 1
this 1
those 1
though 1
thought 1
to 11
toxic 1
trip 1
unleashing 1
where 1
which 1
will 2
wolves 1
world 2
years 1
