29660069
/m/0fpk6fw
/m/0fpk6fw
Charlie Higson

{"/m/01jfsb": "Thriller", "/m/03mfnf": "Young adult literature"}
a 38
abandon 1
able 1
about 3
accidentally 1
acolytes 2
acquired 1
across 1
adult 6
adults 12
after 3
again 1
agnus 2
aint 1
alarmed 1
aleisha 2
all 6
already 1
also 2
although 1
ambulances 1
ambushed 2
an 8
and 66
angus 2
another 3
appears 1
are 17
arm 1
army 2
around 1
arrival 1
arrive 1
arsenal 1
as 5
assaulted 1
at 3
attack 2
attacked 1
attacking 1
attacks 2
attempt 3
attempting 2
attempts 2
avalanche 1
back 4
badly 1
bam 5
banish 1
bank 1
banner 2
be 6
because 1
become 1
bedroom 1
been 3
before 3
beginning 1
begins 1
behind 1
believers 2
believes 2
between 1
beyond 1
biting 1
blocked 1
boarding 1
boat 4
bodies 3
body 1
boy 5
boys 7
brain 1
break 1
bridge 4
buried 1
burned 1
bus 7
but 11
butcher 1
by 17
called 1
can 1
captivity 1
carbon 2
castle 1
cathedral 1
caused 1
causing 3
chance 1
chest 1
child 1
children 3
chin 1
church 2
claims 1
clash 1
cleaver 1
climbing 1
coach 1
collect 1
collecting 1
come 1
comes 1
commotion 1
compromises 1
confront 1
confronts 1
contact 1
continue 1
continuing 1
control 2
corpse 1
corpses 1
council 1
countryside 2
courtney 1
crashes 1
crazy 1
cremates 1
crew 1
cricket 2
cross 2
cruise 1
current 1
cuts 1
damage 1
daughter 1
david 4
day 1
dead 4
death 2
debris 1
decide 1
decides 2
deciding 1
decomposed 1
deeper 1
defeats 1
dei 3
died 1
disappearing 1
disease 1
diseased 1
diseases 1
do 1
downstream 1
drags 1
drainpipes 1
dried 1
drive 1
driven 1
drown 1
due 1
dying 1
eating 1
ed 23
either 1
enemy 3
enter 1
entire 2
epidemic 1
escaped 1
escapes 1
escaping 1
events 1
every 1
explains 1
explode 1
explore 2
face 1
family 3
farmer 1
father 1
fend 2
few 1
fight 1
fighters 2
filled 1
find 7
finding 1
finds 2
finish 1
fire 4
flee 1
fleeing 1
flees 1
food 1
for 7
forced 1
forehead 1
foretells 1
found 1
fourteenyearold 1
frederique 6
french 1
friend 2
froggie 1
from 14
frustrated 1
full 1
fully 1
further 1
gained 1
george 2
get 3
glasses 1
gnawing 1
go 4
goat 1
god 3
going 1
greg 12
ground 2
group 11
guarding 1
gun 1
had 5
half 2
halts 1
handcuffs 1
hang 1
has 10
have 1
he 19
headed 1
heading 1
heal 1
helped 1
her 7
hiding 1
hijacks 1
him 5
himself 3
his 16
holds 2
home 3
horde 1
house 2
however 1
huge 1
immune 1
imperial 1
in 20
including 2
indirectly 1
inexplicably 1
infect 1
infected 8
infection 1
inhabiting 1
initially 1
injuring 1
inside 5
intends 1
into 4
is 22
it 7
jack 19
jordan 7
journeying 1
keeping 1
kid 3
kids 9
kill 3
killed 1
killing 1
kills 1
king 1
kyle 3
lamb 5
last 1
later 1
latin 1
lead 1
leader 2
leadership 1
leave 1
leaves 1
let 1
lets 1
liam 7
lifeboats 1
like 1
locked 1
london 11
long 1
longer 2
look 1
loss 1
lost 1
make 5
maker 1
man 1
manage 4
manages 1
matt 5
matthew 2
meanwhile 2
meat 2
mentions 1
messenger 1
miles 1
missing 1
misspells 1
mistakes 1
monoxide 2
moored 1
morning 2
motor 1
move 2
museum 11
must 3
named 2
nest 1
new 1
next 1
night 2
no 2
north 3
northward 1
now 1
number 1
of 31
off 6
old 1
older 2
on 5
one 1
only 1
open 1
or 2
original 1
other 5
others 2
out 1
outside 1
oval 2
overwhelmed 1
own 1
partially 1
parting 1
paul 2
pilot 1
pistol 1
planning 1
pod 1
poisoning 1
portrayed 1
possibly 1
propane 1
protect 2
pursued 1
puts 1
raise 1
rapidly 1
rather 1
reach 1
realize 1
realizes 1
reappears 1
refuses 1
religion 3
remain 1
remarks 1
remote 1
rename 1
repair 1
reply 1
rescue 1
rescued 2
resemble 1
responsible 1
rest 2
revealed 2
reveals 1
revenge 1
revive 1
righthand 1
river 4
rowhurst 1
ruined 1
run 1
sacrificed 1
sam 2
saved 1
school 2
schoolboys 1
search 1
see 1
seem 1
seen 2
set 1
sets 1
setting 1
several 8
shadow 1
she 5
shirt 1
shocked 1
shoots 3
shortly 1
shotgun 1
should 1
sickness 1
side 1
siege 1
sightseeing 1
since 1
sixteen 1
skips 1
slashes 1
sleep 1
small 1
so 1
soldier 1
soldiers 1
son 1
soon 1
south 3
souvenir 1
spends 1
splits 2
spreading 2
square 1
st 3
stadium 3
stand 2
standing 1
stay 3
staying 1
still 2
storeroom 1
strangles 1
street 1
streets 1
struggle 1
submachine 1
suffered 1
surprised 1
survivors 2
take 1
takes 2
taking 1
tank 1
teacher 1
teenagers 1
tesco 3
thames 1
than 1
that 17
the 118
their 6
them 6
themselves 2
then 2
there 1
they 21
thirty 1
thorne 1
those 1
three 2
through 2
thumb 1
time 1
timely 1
to 64
top 1
towards 4
tower 4
trafalgar 1
transport 1
trapped 1
travel 1
tries 1
truck 5
trucks 1
trying 2
tshirt 1
turning 1
turns 1
two 2
unconscious 1
under 2
underneath 1
unharmed 1
until 1
up 3
village 1
visit 2
war 1
warns 1
was 1
wave 1
way 3
weapons 1
wearing 1
weeks 1
were 2
when 1
where 2
while 1
whilst 2
who 9
whom 1
will 2
wishes 1
with 16
worldwide 1
wounded 1
wounds 2
year 2
years 1
young 1
zombies 1
