13262385
/m/03b_p14
/m/03b_p14
Arthur Conan Doyle

{"/m/014dfn": "Speculative fiction"}
a 14
about 1
above 1
afghan 1
afridis 2
after 4
against 1
ago 1
among 1
an 2
and 9
any 1
apparently 1
appeared 1
archadept 1
are 3
army 3
around 1
as 4
astral 1
avenge 1
battle 1
bay 1
becomes 1
been 1
being 1
bell 2
berthier 1
boarded 1
bottomless 1
branksome 1
buddhist 4
by 3
case 1
cause 1
cave 1
centre 1
chases 1
chelas 3
climax 1
cloomber 3
closing 1
colonel 1
company 1
complete 1
connected 1
cree 1
cul 1
date 1
daughter 1
days 1
de 1
death 2
defeating 1
diary 1
disappearance 1
discomfort 1
during 1
east 1
either 1
emanate 1
emerges 1
enemy 1
engaged 1
english 1
erstwhile 1
escape 1
every 1
evident 1
faced 1
fate 1
fears 2
fifth 1
fighting 1
finds 1
first 1
for 3
forces 1
forty 2
fothergill 1
from 6
gabriel 1
general 14
given 1
goes 1
great 1
had 5
hall 2
hand 1
has 1
have 1
he 9
head 1
hear 1
heatherstone 3
help 1
him 3
himself 1
hindukush 1
his 11
hold 1
hole 1
in 16
india 3
indian 1
instructed 1
is 5
it 4
its 1
john 2
jump 1
kept 1
killing 1
kills 1
kurrachee 1
late 1
let 1
letter 2
like 1
little 1
live 1
man 3
many 1
marsh 1
marshes 1
massacre 1
miserythe 1
mystery 1
near 1
nervous 1
never 1
night 1
october 1
of 14
offended 1
old 4
on 2
one 1
opens 1
or 2
order 1
out 2
over 2
pages 1
papers 3
paranoia 1
paranoid 1
parcel 2
passes 1
people 2
pit 1
point 1
powers 1
presence 1
priest 1
priesthood 1
priests 4
proceeds 1
prolong 1
psychic 1
reached 1
reaches 1
read 1
reads 1
refuses 1
remind 1
remnants 1
residence 1
resigns 1
rufus 2
sac 1
same 1
seems 1
settled 1
ship 1
shipwreck 1
slaughter 1
smith 2
soldiers 2
some 3
somehow 1
son 1
sound 2
stops 1
story 1
strange 1
students 1
subside 1
summon 1
survivors 1
take 1
tells 2
that 5
the 55
their 3
them 5
there 1
they 1
threat 1
three 3
through 1
throw 1
time 1
to 15
together 2
tolling 2
turns 1
two 1
under 1
understands 1
unfolds 1
untenanted 1
vow 1
war 1
was 7
west 6
when 3
wherever 1
which 3
while 2
who 3
whom 1
whose 1
will 1
with 5
wrath 1
year 1
years 3
zenith 1
