26698495
/m/0bmc4zy
/m/0bmc4zy
Harlan Coben
1990-06
{"/m/0lsxr": "Crime Fiction", "/m/02n4kr": "Mystery"}
a 2
and 3
australia 1
ayers 1
barrier 1
baskin 1
celtics 1
cobena 1
david 2
deception 1
do 1
draw 1
for 2
great 1
grieving 1
had 1
harlana 1
her 1
honeymooning 1
i 1
into 1
laura 2
lies 1
never 1
no 1
now 1
of 1
on 1
out 1
plmistyfikacja 1
powie 1
reef 1
returned 1
said 1
search 1
sooner 1
star 1
struck 1
supermodel 1
swimand 1
th 1
than 1
the 1
tragedy 1
truth 1
web 1
went 1
while 1
widowed 1
will 1
