779622
/m/03bqkv
/m/03bqkv


{"/m/06c9r": "Role-playing game"}
a 4
adventure 3
along 1
an 1
and 3
around 1
as 1
basic 1
bone 1
book 1
campaign 1
characters 1
complete 1
creatures 2
described 1
detail 1
dungeon 1
evil 1
expand 1
expands 1
featured 1
fishing 1
found 1
greyhawk 1
hill 1
in 3
involves 1
is 2
isles 1
it 1
lairs 1
lendore 1
locations 1
lowlevel 1
master 1
may 1
milieu 1
minisetting 1
module 3
monster 1
more 1
nearby 1
of 5
offering 1
player 1
port 1
prowling 1
reaches 1
require 1
restenford 1
scenario 2
setting 1
several 1
than 1
that 1
the 11
to 1
town 1
types 1
undead 1
unexplored 1
upon 1
using 1
with 1
world 1
