975635
/m/03vxjh
/m/03vxjh
Ray Bradbury
1957
{"/m/06n90": "Science Fiction", "/m/05hgj": "Novel", "/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction", "/m/012jgz": "Autobiographical novel"}
1 2
10 1
11 1
110 1
12 1
13 1
14 2
1516 1
17 1
1718 1
2 2
20 1
2122 1
2324 1
2526 1
27 1
282 1
3 2
31c 1
32 1
33 1
33c 1
34 1
34live 1
34rescue34 1
35 1
3638 1
40 1
45 1
6 1
7 1
8 1
87f 1
a 118
abandoned 1
able 2
aboard 1
about 13
abruptly 1
absurd 1
accepting 1
accident 1
accidentally 2
accidents 2
accomplished 1
accuses 1
act 2
acting 2
actions 1
activity 1
actual 1
actually 2
addressed 1
adults 1
advertise 1
advertised 1
affidavits 1
afraid 3
after 11
afternoon 2
again 8
against 1
age 1
ages 1
ago 1
agree 1
agreeing 1
agrees 1
aid 1
air 4
alice 2
alive 6
all 11
allow 1
allowing 1
almost 2
alone 1
aloneness 1
along 4
also 2
always 2
amidst 1
amount 1
amusements 1
amusingly 1
an 16
and 124
anecdotes 1
another 12
antelopes 1
anyone 1
anything 1
apart 1
apologizes 1
apparently 2
appear 1
appearances 1
appears 1
appreciate 1
arcade 1
are 10
areas 1
argues 1
argument 1
around 3
arrive 1
as 36
asking 1
asks 7
asleep 1
assisting 1
associating 1
assures 1
at 24
atmosphere 1
attack 1
attempt 1
attempts 5
attention 2
attentions 1
attic 1
auffmann 1
august 1
aunt 2
authenticity 1
autumn 1
avail 1
awake 1
awakening 1
aware 1
away 9
back 3
ball 3
basis 1
battle 1
be 24
beating 1
beautiful 1
because 11
become 1
becomes 2
bed 2
beds 1
been 7
before 10
begging 1
beginning 2
begins 4
begun 1
being 4
belief 2
beliefs 1
believe 1
believes 2
believing 1
belong 4
bentley 6
berates 1
best 1
better 1
between 3
bids 1
big 1
bill 17
billion 1
black 4
blank 3
bliss 1
body 1
bones 1
books 2
born 1
both 2
bottle 1
bottled 1
bottles 4
bought 1
boy 1
boys 7
brandnew 1
breaking 2
breathing 1
brews 1
brief 2
brings 1
broken 1
brooding 1
brother 1
brown 1
bruises 1
build 3
built 1
bulgyeyed 1
bullet 1
buried 1
burned 1
burning 1
burns 2
bus 2
bustling 1
busy 1
but 21
buying 1
buzz 1
buzzes 1
buzzing 1
by 27
calling 1
calls 1
came 1
can 8
cannot 2
cant 3
card 5
carnival 2
case 1
casual 1
catches 2
caught 1
cause 1
caused 3
causes 1
causing 3
ceaseless 1
ceremonies 1
certain 2
chair 1
challenged 1
chances 1
change 2
chaos 1
chapter 45
charlie 2
charm 1
chest 1
child 1
childhood 1
children 6
ching 1
chore 1
chores 1
cicadas 3
cicadas3 1
city 3
civil 1
claim 1
claiming 1
claims 1
clara 7
climb 1
clock 1
closes 1
closing 1
clothes 1
clumsiness 1
coincide 1
coins 1
collections 1
colonel 6
come 2
comes 2
comfort 2
comfortable 1
comforted 1
coming 1
comment 2
commentary 1
comments 4
companion 1
compared 1
completes 1
complies 1
concerned 1
concludes 2
conclusion 2
condition 2
confidence 1
confined 1
confirming 1
confiscate 1
containing 1
contented 1
contents 1
continued 1
continues 1
continuing 1
contrasting 1
controlled 1
conversation 3
conversations 1
conversing 1
convinces 3
cookbook 2
cooking 6
cool 1
cooled 1
correct 1
cost 2
cot 1
could 1
count 1
counter 1
counting 2
countless 1
cousin 1
crawling 1
crazy 1
cream 1
creamsponge 1
created 3
creating 1
cry 1
crying 1
cupola 1
cure 1
cutting 2
dances 1
dancing 1
dandelion 6
dandelions 1
dark 3
darkness 2
dawn 1
day 13
days 2
dazed 1
dead 4
death 5
deaths 1
decides 1
degree 1
delighted 1
departure 1
describe 1
described 1
describes 1
descriptions 1
desire 1
desperate 1
despite 2
destroys 1
detailed 1
determined 1
dial 1
dials 1
did 4
die 5
died 1
dieif 1
differently 1
diminishing 1
dinner 3
dinners 1
disbelief 1
disbelieving 1
discarded 2
discards 1
discoveries 1
discovering 1
discovers 1
discovery 1
dish 1
disillusioned 1
disintegrates 1
disorder 1
disoriented 1
disquieting 1
distance 2
distracted 1
disturbed 1
diverges 1
divine 1
do 5
does 4
doesnt 1
doll 1
donating 1
done 1
dont 5
doug 1
douglas 75
douglas3 6
down 9
downstairs 1
draw 1
draws 2
dream 2
dreamingcreated 1
dreamlike 1
drifting 1
drinking 2
drive 1
droning 1
drunk 1
during 2
dust 2
dwell 1
dying 1
each 4
early 2
echoes 1
effort 1
egypt 1
eighteen 1
elaborate 1
elated 1
elderly 2
elect 1
election 2
eliminating 1
elizabeth 1
elmira 7
else 2
embedded 1
emergency 1
emphasized 1
emulate 1
encounter 1
end 5
ended 1
ending 4
ends 3
enjoy 1
enjoys 1
enough 2
ensuing 1
ensure 1
entire 1
entranced 1
envision 1
especially 2
even 6
eventful 1
events 5
ever 1
every 3
everyday 1
everyone 2
everything 1
exclaims 1
exemplified 1
exercises 1
exists 1
expected 2
experience 2
experienced 1
experiences 1
expiring 1
explaining 1
explains 2
expository 3
expresses 1
eyes 1
face 1
faces 1
fact 2
fade 1
fails 2
fall 4
falls 1
family 15
fancying 1
fantasy 1
fantasytinged 1
fast 1
fatal 1
fatalistic 1
father 4
favor 2
feel 4
feeling 3
feels 6
feet 1
fern 3
festivities 1
fever 2
few 1
fifteen 1
fifty 1
fight 1
figure 1
figures 1
figurine 1
filled 1
final 1
finally 5
find 4
finds 4
finishing 1
fire 1
fireflies 2
fireflies3 1
firm 1
first 4
five 1
flats 2
flight 1
flings 1
fly 1
focuses 1
following 2
fool 1
for 53
foreshadowing 1
forever 2
forever34 1
forget 1
form 3
former 1
forms 1
forrester 3
fort 1
fortune 1
fortunes 1
forward 1
fountain 2
four 1
fox 1
free 3
freeleigh 9
freezes 1
freezing 1
french 1
friend 4
friendly 2
friends 5
from 25
front 2
fulfillment 1
full 2
further 4
furthermore 1
future 1
game 1
garage 1
gazelles 1
generator 1
get 6
gets 1
getting 1
girl 2
