26083458
/m/0b6fhq2
/m/0b6fhq2
Jeanie Gould


1850s 1
a 10
accident 1
adopts 2
after 1
an 1
and 7
at 1
because 1
becomes 1
befriends 1
beg 1
begger 3
behaviour 1
book 1
business 1
but 1
by 1
children 2
concerned 1
consequently 1
couple 1
day 1
does 1
eventually 1
family 2
farm 1
finally 1
finds 1
for 3
from 1
gets 1
girl 5
give 1
goes 1
gray 1
has 2
have 1
he 1
her 6
highly 1
his 4
in 3
is 3
it 1
jealous 1
judge 1
just 1
keeps 1
later 1
little 2
long 1
looks 1
loses 1
lost 1
marjorie 5
meets 3
memory 1
missing 1
money 1
more 1
new 1
next 1
nice 1
not 1
of 3
old 1
on 1
one 1
orphan 1
orphanage 2
out 1
own 2
part 1
people 1
place 2
recovers 1
reggie 1
results 1
second 1
she 5
since 1
sister 1
six 1
soldier 1
son 2
southern 1
stay 1
story 1
taken 1
takes 2
teacher 1
teenage 2
the 13
their 1
there 2
though 1
to 5
turns 1
two 1
unfortunately 1
unpleasant 1
way 1
wealthy 1
when 1
where 2
while 1
who 3
willingly 1
with 1
woman 1
years 1
young 3
