14764731
/m/03gx6z9
/m/03gx6z9
Gael Baudino
1992
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy"}
20th 1
a 8
across 2
addams 1
after 1
aid 1
allowed 1
alouzon 8
also 1
an 2
and 18
angeles 4
another 1
armies 1
arms 1
army 1
arrive 2
as 1
at 2
attacked 1
back 1
barrier 2
battle 4
battles 2
beasts 1
become 3
before 1
begins 1
behind 1
being 1
bodies 1
brings 1
by 1
can 3
carried 1
century 1
choice 2
chooses 1
circumvent 1
come 1
comes 1
conjures 1
consolidate 1
continue 1
corpse 1
corrian 1
corrinian 1
creation 1
discover 1
downtown 1
dragons 1
dreams 1
duel 1
end 2
engages 1
entering 1
erects 1
finds 1
fleet 1
for 1
frighten 1
from 5
gateway 2
goddess 2
grail 1
grave 1
grayfaces 1
greyfaces 1
ground 1
gryylth 11
gryylthian 1
guard 1
happened 1
has 4
he 2
healed 1
helen 2
helwych 5
her 6
higher 1
his 1
house 1
in 9
into 3
is 5
it 2
its 2
just 1
keep 1
kings 2
kyria 1
land 1
let 1
lies 1
located 1
los 4
made 1
maneuvers 1
manipulation 1
massive 1
members 1
mirrors 1
modern 1
more 1
mountains 1
nature 1
news 1
of 9
office 1
old 1
on 1
one 1
or 1
ostensibly 1
out 1
park 1
party 1
picks 1
population 1
power 3
predicament 1
protector 1
put 1
realizes 1
realizing 1
remains 1
returned 1
returning 1
returns 1
rises 1
running 1
sea 2
sees 2
sending 2
she 4
solomon 3
sorcery 1
spectre 3
standstill 1
still 1
stories 1
story 1
supernatural 1
suzanne 1
team 1
than 1
that 4
the 21
their 1
them 1
there 1
they 2
this 1
through 2
to 14
tower 1
treachery 1
troops 1
ucla 1
understanding 1
up 3
using 1
vaylle 6
war 2
warfleet 1
way 2
weaponry 1
what 1
whatever 1
when 3
while 3
white 2
winds 1
with 4
works 1
worm 1
wreckage 1
