6438799
/m/0g5d1n
/m/0g5d1n
Milan Kundera
2000
a 8
acting 1
action 1
after 1
also 1
and 2
around 1
as 4
aspects 1
avoiding 2
be 2
been 1
being 1
briefly 1
by 2
can 1
ceased 1
centres 1
chance 1
concept 1
conversation 1
czech 1
decides 1
doing 1
during 1
examines 1
expatriate 1
explores 1
exploring 1
feelings 1
feigning 1
fellow 1
france 1
has 2
have 1
her 2
home 2
homecoming 1
homeland 1
ignorance 4
ignorant 1
in 6
instigated 1
involuntary 1
irena 1
is 1
it 2
its 1
josef 1
kundera 1
living 1
love 1
lover 1
manifestations 1
meets 1
memories 1
migr 1
novel 2
novels 1
odyssean 1
of 5
or 2
out 1
paints 1
participate 1
past 1
people 2
phenomenon 1
picture 1
poignant 1
prague 1
precursor 1
presented 1
recurring 1
return 2
reworks 1
selective 1
she 1
so 1
such 2
that 2
the 11
theme 1
themes 1
to 5
topics 1
trip 1
truth 1
twenty 1
twofold 1
unpleasant 1
was 1
way 1
which 2
who 2
willing 1
years 1
yet 1
