17165147
/m/043qzn_
/m/043qzn_
Lois-Ann Yamanaka
1996
{"/m/02xlf": "Fiction"}
a 12
abort 1
about 2
accident 1
accidentally 1
action 1
after 1
again 2
all 1
alluded 1
also 2
although 1
always 3
among 1
ancestors 1
ancestry 1
and 32
anger 2
animals 2
another 1
any 1
are 6
argue 1
as 1
at 5
attract 1
aunt 1
babies 1
baby 1
back 1
bag 1
be 2
because 2
bedroom 1
before 1
beginning 1
begins 2
being 4
best 2
blonde 1
blows 1
both 3
bred 1
brother 1
bully 1
but 2
by 1
cal 1
calhoon 2
call 2
calling 1
cassidy 1
characters 2
children 1
class 2
classmates 1
close 1
club 1
come 1
comes 1
comments 1
consisting 1
constantly 2
cow 1
crystal 2
dance 1
dances 1
date 1
david 1
decide 1
deer 1
descriptions 1
dirt 2
dominate 1
drunk 1
during 1
end 2
ending 1
enough 1
especially 1
event 1
eyes 2
eyesight 1
fag 1
farm 1
father 3
feels 1
few 1
filled 1
finally 1
flies 1
flowers 1
food 1
for 2
friend 2
from 1
fuller 1
get 2
gets 4
girl 2
girlfriend 1
girls 1
given 1
grade 2
graduation 1
group 1
guilt 1
had 1
handsome 1
hangs 1
haole 1
haoles 1
hapa 1
happy 1
has 1
hates 1
have 2
hawaii 1
he 5
helen 1
her 14
heritage 1
herself 1
high 1
him 2
his 5
home 2
homosexuality 1
how 3
however 1
hubert 4
hunting 2
important 1
in 14
include 1
introduced 2
is 15
island 2
it 1
japan 1
japanese 2
jealous 1
jeans 1
jerry 9
katy 1
kauai 2
killing 1
kills 1
koi 2
lacks 1
larry 4
last 1
later 1
learns 2
lez 1
life 2
like 3
live 1
lori 3
loses 1
lovey 19
loveys 1
make 1
mating 1
mentioned 1
middle 1
months 1
more 1
most 5
mother 2
moved 1
movie 1
movies 1
names 2
nariyoshi 2
nariyoshis 1
neighbor 2
never 2
not 3
novel 3
now 1
obituaries 1
occurs 1
of 21
older 1
on 4
one 2
other 3
out 5
over 2
own 2
parents 1
part 7
pea 1
period 2
pet 2
physical 1
place 1
plantations 1
playing 1
popular 2
pregnant 3
pretty 1
probably 1
proud 2
pure 1
queen 1
queer 1
rabbit 1
rather 1
rays 1
real 1
realizes 1
recessid 1
refusing 1
relationship 1
responsible 1
rising 2
roughly 1
samurai 1
school 2
schoolaged 1
section 3
see 1
seems 1
seventh 1
sex 1
shame 1
she 11
shigemura 1
shirley 1
shoot 1
should 2
sixth 1
so 1
society 1
son 1
still 1
sun 1
takes 2
teaches 3
teenage 1
tells 2
temple 1
than 1
that 10
the 35
their 6
there 1
they 4
things 2
this 5
three 4
throughout 1
throws 1
to 15
together 1
too 1
towards 1
traumatic 1
treats 1
trying 1
turkey 1
two 1
unhappy 1
up 1
vagina 1
verva 2
violent 1
watch 1
watching 1
we 3
when 4
where 4
who 1
wild 1
with 5
womans 1
work 1
would 2
year 2
years 1
yells 1
ymca 1
