4251622
/m/0bsfbp
/m/0bsfbp
Chris Riddell
2000-10-05
a 9
about 2
academics 4
across 3
all 2
among 2
an 1
and 21
appoints 1
apprentice 2
are 2
as 3
at 1
away 2
balcony 1
battlements 1
be 3
became 1
becomes 1
before 2
book 2
boy 1
bullied 1
but 1
by 8
came 1
can 2
captain 1
city 1
cloud 1
collapse 1
confronted 1
cowlquape 13
crew 4
cruel 1
darkness 3
dazed 1
dead 1
debris 1
deepwoods 2
destroyed 2
down 1
due 1
during 1
edge 3
edgedancer 2
embark 1
ends 1
evacuated 1
even 1
everything 2
evil 1
explain 1
father 4
fees 1
finally 1
find 2
flies 1
fly 1
from 7
garden 1
gardens 3
gets 1
giant 1
goes 1
goodbye 1
gratitude 1
great 1
growing 1
had 1
happened 1
he 6
hears 1
her 2
hierarchy 1
him 2
himself 1
his 7
hood 1
important 1
in 12
including 1
injuring 1
into 1
is 10
it 3
itself 1
jumping 1
kept 1
kicked 1
killed 1
killing 2
last 1
leaguesman 2
leaguesmen 1
learning 1
learns 1
leaving 1
left 1
legendary 1
let 1
life 2
light 1
lowest 1
luck 1
made 1
makes 1
many 1
meanwhile 2
memory 3
mire 1
miserably 1
missing 1
month 1
mother 4
needs 1
new 5
no 1
of 16
off 1
often 1
on 1
one 2
only 1
open 1
other 1
out 1
pay 1
piece 1
pieces 1
pilot 2
platform 1
professor 3
pushes 1
rain 1
reach 1
reaches 2
realizes 1
recover 1
rector 1
regains 1
release 1
released 1
releases 1
replenish 1
rescued 1
retained 1
returning 1
richer 1
riverise 1
riverrise 4
ruled 1
rumours 1
run 1
safely 1
saga 1
same 1
sanctaphrax 10
save 1
saves 1
saying 1
says 1
scattered 1
scheming 1
she 1
ship 3
sky 3
so 2
son 1
stone 7
stop 1
storm 6
student 1
students 1
studying 1
subprofessor 1
such 2
supreme 1
take 1
taken 1
tells 1
that 6
the 56
then 2
they 3
this 1
those 1
three 2
to 15
together 1
towards 1
trapped 1
travel 1
tries 1
trying 1
twig 13
two 1
undertown 5
undertowners 1
unless 1
upon 2
upperclass 1
venture 1
verlix 1
vortex 3
vox 2
voyage 1
wanders 1
was 2
waterfall 1
waters 1
wealthy 1
weather 1
were 1
what 1
where 2
which 2
who 6
will 2
wishes 1
with 3
wolf 1
wont 1
yet 1
young 1
