23517201
/m/06w9nt_
/m/06w9nt_
Dave Eggers
2009
{"/m/05h83": "Non-fiction"}
11 2
14 1
188 1
20 1
2005 1
2005this 1
a 12
abandoned 1
abdulrahman 3
after 2
against 1
alert 1
all 1
allow 2
allowed 1
almost 1
also 1
although 2
american 1
an 2
and 18
another 1
any 1
anyone 1
anything 1
anywhere 1
apprenticeship 1
approached 1
are 2
arrest 1
arrested 1
as 2
asked 1
at 5
attention 1
august 1
away 1
baton 2
be 6
before 1
began 1
behind 2
being 1
book 2
brother 1
bus 1
bush 1
business 3
but 3
by 2
call 2
can 2
canoe 1
caring 1
catastrophic 1
center 1
charged 1
checking 1
children 1
chose 1
city 3
collided 1
companions 1
confidence 1
contractors 1
converted 1
correctional 1
couldnt 1
court 1
creating 1
crimes 1
dave 1
days 2
defense 1
destroy 1
destructive 3
detained 1
devastate 1
didnt 2
discriminated 1
distributing 1
doesnt 1
dogs 1
during 2
east 1
eggers 1
elayn 1
else 1
engineer 1
equally 1
evacuation 1
eventually 1
experience 1
explore 1
family 1
ferrying 1
few 1
finding 1
fisherman 1
flooded 1
floor 1
for 6
force 1
forces 2
founded 1
four 1
freed 1
frighteningintolerance 1
from 4
gabriel 1
george 1
given 1
got 1
government 4
grew 1
greyhound 1
ground 1
group 1
guards 2
guardsmen 1
had 4
happened 1
have 1
having 1
he 10
hearing 1
held 1
her 3
higher 1
him 1
his 7
home 2
houses 2
however 2
hunt 2
hurricane 2
hurricanes 1
immediately 2
in 19
information 1
innocent 1
involved 1
is 4
islam 1
it 1
jableh 1
jail 4
job 1
justice 2
kathy 6
katrina 3
knew 1
landfall 1
late 1
least 1
left 1
levees 1
like 2
lives 1
llc 1
local 1
location 1
loss 1
louisiana 1
made 1
makeshift 1
mass 1
mean 1
medical 1
men 1
met 1
middle 1
might 1
miles 1
mixed 1
more 1
moreover 1
most 2
muscleman 1
muslim 1
national 1
native 1
nearby 1
nearest 1
neighborhood 1
neighbors 1
never 1
new 2
not 2
occurred 1
of 14
often 1
on 4
once 2
one 3
ongoing 1
or 2
order 1
orleans 2
out 2
outofstate 1
outraged 1
over 2
owner 1
painting 1
panic 1
people 3
phone 2
planet 1
police 2
port 1
post 1
poverty 1
powerful 1
predicament 1
press 1
priority 1
prison 3
properties 1
public 1
pursued 1
put 1
racism 1
reasoning 1
refused 1
rejected 1
released 1
rental 2
resources 1
results 1
ride 1
right 1
rouge 2
routes 1
say 2
says 2
sea 1
second 1
secondhand 1
seemed 1
seen 1
september 1
settled 1
shameful 1
she 2
should 2
sites 1
spent 1
st 1
start 1
states 1
station 1
stayed 2
stood 1
storm 1
story 1
supplies 1
suspected 1
syria 1
syrian 2
syrianamerican 1
system 2
target 1
tells 1
tenants 1
terrorism 1
terrorists 2
testifying 1
that 8
the 31
their 5
them 2
there 4
they 5
this 2
three 2
thrown 1
time 4
to 15
told 2
top 1
toward 1
transferred 1
traveled 1
treat 1
trial 1
trifled 1
twenty 1
two 1
unfair 1
unfairly 1
united 1
up 2
use 1
visit 1
was 11
watch 2
were 4
what 2
when 4
who 3
whom 1
wife 1
with 4
without 1
working 1
world 1
worried 2
would 1
written 1
wrongly 1
years 2
zeitoun 17
zeitouns 1
