7594155
/m/02666c3
/m/02666c3
Walter Kirn
1999-11
{"/m/0dwly": "Children's literature", "/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
14 1
a 8
accept 1
again 1
age 1
all 1
amidst 1
and 10
appears 1
arise 1
as 1
at 2
attempts 1
attention 1
attitude 1
audrey 1
be 1
behaving 1
broad 1
brother 1
but 3
by 2
can 1
coach 1
cobb 1
college 1
combat 1
coming 1
concepts 1
condition 1
consequently 1
deciding 1
deficit 1
dentist 1
disappears 1
disorder 1
does 1
down 1
drug 1
drugs 2
during 1
dysfunction 1
emotions 1
enough 1
eventually 1
everything 1
existentialism 1
expense 1
experienced 1
experiences 1
family 2
father 1
fit 1
fix 1
flaws 1
football 1
for 1
former 1
gives 1
goal 1
habits 1
had 1
has 1
have 1
he 4
help 1
her 1
him 1
his 7
how 1
hypnosis 1
identified 1
identity 1
in 3
indeed 1
inspired 1
is 7
its 1
joel 1
justin 7
kirn 1
large 1
life 2
limited 1
live 1
lyman 2
merely 1
message 1
mike 1
militaristic 1
mind 1
minnesota 1
missionary 1
mormon 1
mother 1
new 1
normal 1
not 1
novel 1
nurse 1
oddly 1
of 6
off 1
old 1
on 1
other 1
perry 2
place 1
pot 1
prescribed 1
pressures 1
problem 3
problems 2
raw 1
real 1
religion 1
remain 1
remedy 1
reminds 1
returns 1
ritalin 2
ru 1
school 1
seem 1
sent 1
sex 2
simply 1
spectrum 1
star 1
starts 1
stop 1
stopgap 1
story 1
struggling 1
success 1
sucking 3
take 1
tale 1
teenager 1
tells 1
that 2
the 10
them 2
this 4
thumb 3
time 2
to 14
touching 1
turns 2
unemotional 1
unorthodox 1
up 2
use 1
washedup 1
we 1
when 1
whilst 1
who 2
whose 1
wider 1
winds 1
with 4
wound 1
year 1
york 1
younger 1
