17675910
/m/06xz23
/m/06xz23
Beverly Cleary

a 6
accept 1
also 1
an 1
and 5
answer 1
answered 1
answers 1
are 1
as 3
assignments 1
at 1
author 3
available 1
back 1
be 1
because 2
begins 1
being 1
book 2
bookragscomplot 1
books 1
botts 2
boyd 1
but 1
by 1
can 1
cannot 1
change 1
character 1
children 1
chooses 1
complex 1
continue 1
continues 1
cope 1
count 1
deal 1
dear 1
demands 1
diary 2
divorce 1
do 1
encourages 1
etcplot 1
example 1
expected 1
father 2
favorite 1
feeling 1
feelings 1
finds 1
first 1
for 2
format 1
from 3
grade 1
have 1
he 9
henshaw 9
him 2
his 14
in 3
is 4
it 1
keep 1
kid 1
later 1
learn 1
leigh 7
letter 2
letters 1
life 1
lonely 1
lunch 1
main 1
many 1
matters 1
may 1
mother 1
mr 8
must 2
naturally 1
needed 1
never 2
new 2
occasionally 1
of 3
on 3
other 1
out 1
parents 2
parts 1
people 1
personal 1
pretend 1
problems 1
questions 3
relationship 1
reluctant 1
remarry 1
reply 2
report 1
responses 1
revealed 1
scholastic 1
school 2
series 1
silly 1
sixth 1
some 1
steal 1
struggles 1
such 1
summary 2
switches 1
that 3
the 5
then 1
thoughts 1
through 1
to 16
town 1
until 1
well 1
when 2
which 1
will 1
with 6
write 2
writes 3
writing 2
