13899003
/m/03cmlgy
/m/03cmlgy
Raymond Abrashkin

{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/0dwly": "Children's literature"}
a 2
able 1
adults 1
along 1
an 2
and 3
astonishingbut 1
be 1
bulfinch 1
cave 3
danny 2
device 1
discover 1
discovery 1
dr 1
enter 1
entrance 1
escape 1
expedition 1
find 1
friend 2
geologist 1
has 1
he 1
his 2
home 1
in 2
invented 1
irene 1
is 1
joe 2
just 1
machine 1
near 1
on 1
opportunity 1
pearson 1
plus 1
portable 1
professor 1
reveal 1
see 1
the 6
their 2
they 2
to 4
tresselt 1
two 1
use 1
what 1
will 1
with 1
woods 1
xray 1
