682421
/m/032l8y
/m/032l8y
Kurt Vonnegut
1985
a 16
able 1
adapted 1
affected 1
after 1
afterlife 1
all 2
allowing 1
and 6
animals 1
appearances 1
aquatic 1
are 1
as 3
awol 1
baha 1
band 1
been 1
begins 1
best 2
birth 1
blue 2
brain 2
but 1
by 2
catch 1
catching 1
caused 1
celebrity 1
century 1
chain 1
character 1
construction 1
could 1
cripples 1
crisis 1
cruise 2
darwin 1
daughter 1
de 1
descendants 1
described 1
dies 1
disease 1
downturn 1
due 2
during 1
earth 1
economic 1
economy 1
eliminates 1
ended 1
enter 1
events 1
eventually 1
evolution 1
evolve 1
exception 1
explicitly 1
fertile 1
fictional 1
financial 1
fingers 1
fish 1
fitted 1
flipperlike 1
for 5
fortunately 1
four 1
fourth 1
furcovered 1
furry 1
galpagos 3
ghost 1
gives 1
global 1
goes 1
granddaughter 1
hands 1
has 1
have 1
he 3
head 1
hiroshima 1
his 1
human 1
humankind 2
humans 7
immortal 1
in 9
infertile 1
into 2
is 7
island 2
islands 1
it 3
japanese 1
kilgore 3
land 1
last 2
leads 1
leaves 1
left 1
leon 4
limbo 1
maintains 1
making 1
mammals 1
massacres 1
mentioned 1
million 3
mismatched 1
my 1
narrator 1
natural 1
nature 1
next 1
not 2
novel 1
nubbins 1
observe 1
occasionally 1
of 13
on 5
one 1
only 2
over 2
oversized 1
particular 1
people 1
planet 1
planned 1
pledges 1
possibly 1
problem 1
process 2
reach 1
recurring 1
refuses 1
renders 1
required 2
resembling 1
return 1
rosalia 3
rudimentary 1
santa 3
seals 1
selection 1
settles 1
ship 3
shipbuilder 1
shipwrecked 1
shortly 1
since 1
skull 1
slow 1
small 1
smaller 1
snout 1
son 2
sorrows 1
species 1
specimens 1
spirit 2
stated 1
still 1
story 3
streamlined 2
survive 1
survivor 1
sweden 1
swim 1
teeth 1
that 5
the 36
their 1
them 1
thereafter 1
they 2
this 3
those 1
though 1
time 1
to 9
transforms 1
trotsky 1
trout 3
troutdeceasedmakes 1
true 1
tunnel 2
turn 1
unconnected 1
up 1
upright 1
urging 1
used 1
veteran 1
vietnam 2
villain 1
vonnegut 1
walk 1
war 1
was 1
watching 1
were 2
when 2
where 1
which 3
who 4
will 1
with 3
woman 1
works 1
world 1
years 3
