1192713
/m/04g3g5
/m/04g3g5
Lewis Carroll
1871-12

a 2
after 2
alice 2
all 2
along 1
an 1
and 5
are 4
attempts 1
be 2
beach 2
bed 1
both 1
but 1
by 2
carpenter 2
characters 3
come 1
despite 1
determine 1
disapproval 1
eat 1
eldest 1
eponymous 1
fact 1
feet 1
follow 1
four 1
further 1
goodnatured 1
having 1
hearing 1
in 1
interpretation 1
invite 1
is 3
join 1
leading 1
made 1
main 1
many 1
might 1
moon 1
more 2
neatly 1
night 1
no 1
of 6
offshore 1
one 1
oyster 1
oysters 3
poem 2
point 1
predatory 1
recited 1
revealed 1
shod 1
sun 1
sympathetic 1
that 1
the 17
them 2
they 1
thwarted 1
to 5
tweedledee 1
tweedledum 1
twins 1
two 2
upon 2
visible 1
walking 2
walrus 2
when 1
which 2
whom 1
