28664926
/m/0czd2z1
/m/0czd2z1
Paul Howard

a 1
advice 1
almost 1
american 1
as 2
aspect 1
bret 1
by 2
came 1
characters 1
chinos 1
clothes 1
comedic 1
content 1
descriptions 1
dispensing 1
easton 1
edition 1
ellis 2
fore 1
from 2
in 3
is 2
its 1
many 1
much 1
novel 1
of 3
on 1
original 1
passage 1
prolonged 1
psycho 1
removed 1
revised 1
right 1
ross 1
scenes 1
series 1
shoe 1
similar 2
specific 1
strikingly 1
such 1
taken 1
the 9
this 1
to 4
version 1
was 1
wear 1
which 1
with 1
wordforword 1
work 1
worn 1
