7044272
/m/0h1qq5
/m/0h1qq5
Elizabeth Kerner
1997
100 1
a 17
abrupt 1
actions 1
actually 1
after 2
again 1
aid 1
akhor 11
all 1
allows 1
ally 2
alone 1
an 6
and 25
another 3
are 6
artifact 1
as 5
assembled 1
at 3
avoid 1
away 1
back 2
battle 1
be 2
been 1
before 1
believing 1
between 1
birth 2
board 1
born 1
both 1
break 1
brother 1
bruise 1
burned 1
but 8
by 3
caderan 3
call 1
came 1
camp 1
can 1
capable 1
child 1
comes 2
communicating 1
consumed 1
council 1
cousin 1
dangerously 1
dark 1
death 1
debt 1
defense 1
delivers 1
demon 3
demoncaller 1
demoncalling 1
demonic 1
departed 1
die 1
dies 2
discovers 1
distant 1
distracted 1
dragon 4
dragons 3
driven 1
due 2
during 1
each 1
ensorcelled 1
ensues 1
entity 1
even 1
eventually 2
ever 1
every 1
exile 1
fall 1
farm 1
fascination 1
father 3
feels 2
ferrinshadik 1
fight 2
finds 1
first 2
fist 1
folly 1
for 9
forced 1
form 2
freed 1
from 4
gather 1
gedri 2
gets 1
give 1
greed 1
had 3
hadron 3
hadronsstead 1
hands 2
happens 1
harvest 1
has 6
he 4
heal 1
healed 1
healer 2
healers 1
healing 1
hearing 1
helping 1
her 11
herself 1
him 1
himself 1
hired 1
his 4
horribly 1
horsebreeder 1
however 1
human 2
humans 3
impassioned 1
in 12
incline 1
injuries 1
insane 1
instantly 1
instinct 1
intends 1
into 2
irreplaceable 1
is 15
island 2
isle 3
it 4
items 1
journey 1
kaelar 1
kantri 11
kept 1
killed 1
king 1
know 2
knowing 1
known 2
kolmar 2
lanen 14
lansip 2
leads 1
learn 1
learns 2
leaves 2
legend 2
lie 1
life 1
long 1
longing 1
longs 1
lord 1
lost 1
love 2
lurking 1
madly 1
magical 1
maikel 1
mainland 1
makes 1
making 1
manage 1
manages 2
many 1
marik 11
married 1
meet 2
meetings 1
meets 1
member 1
mercy 1
mighty 1
mind 1
ministrations 1
mirazhe 1
must 2
my 1
mysteriously 1
nick 1
no 1
notice 1
occur 1
of 28
off 1
on 5
once 1
one 2
only 1
oppose 1
or 1
order 3
ostensibly 1
other 3
others 1
out 2
over 1
owed 1
pay 1
payment 1
people 2
places 1
plight 1
possibility 1
power 1
powerful 1
powers 1
precious 1
prepared 2
present 1
promised 1
properties 1
proposal 1
protect 1
pursue 1
raised 1
ready 1
rella 1
reluctantly 1
remain 1
replying 1
respects 1
response 1
returned 1
reveals 1
rishkaan 1
rules 1
sacrifed 1
sacrifice 2
safely 1
save 1
secret 1
secretly 1
see 1
seek 1
seeks 1
sentence 1
servant 1
share 1
she 14
ship 3
short 1
silver 1
silverscaled 1
similar 1
since 2
skilled 1
slain 1
slaying 1
so 1
soon 1
soulgems 1
special 1
species 1
speech 2
spies 1
spirited 1
steals 1
storms 1
suffers 1
sway 1
swiftly 1
telepathy 1
ten 1
terrible 1
terrified 1
that 10
the 44
their 6
them 3
then 1
they 3
time 3
to 35
together 1
trait 1
transformed 1
transgressions 1
travel 1
travelling 1
treasure 1
trip 1
true 2
truespeech 1
two 2
unable 1
unhappy 1
used 1
user 1
utters 1
violent 1
was 3
weary 1
weight 1
what 1
when 3
which 2
while 2
who 5
wield 1
will 1
with 6
woman 1
words 1
worth 1
wounds 2
years 3
young 1
