1574481
/m/05cmbs
/m/05cmbs
Richard Greenberg

a 3
accepting 1
allmale 1
an 1
and 6
as 1
at 1
baseball 3
career 1
cast 1
character 1
class 1
come 1
consequences 1
course 1
darren 1
decides 1
drama 1
explores 1
has 1
he 1
his 2
homophobia 1
in 2
is 2
lemming 1
locker 1
main 1
masculinity 1
mixedrace 1
much 1
not 1
of 6
out 2
over 1
peak 1
play 2
player 1
plays 1
popular 1
professional 1
racism 1
react 1
room 1
season 1
set 1
several 1
some 2
sports 1
strongly 1
successful 1
such 1
supportive 1
team 1
teammates 1
that 1
the 6
themes 1
to 1
tragic 1
when 1
with 1
