4904744
/m/0ctfz7
/m/0ctfz7
Joe Dever
1987
against 2
all 1
allies 1
and 2
as 1
at 1
be 1
been 1
before 2
beneath 1
city 1
completing 1
danger 1
darklords 2
deep 1
even 1
falling 1
falls 1
for 1
forever 1
freeland 1
going 1
has 1
he 1
hopes 1
if 1
in 1
is 2
it 2
learns 1
lone 3
lorestone 1
lorestones 1
magnakai 1
nations 1
next 1
not 1
now 1
of 4
one 1
quest 1
races 1
reaches 1
recover 1
recovered 1
remaining 1
resides 1
streets 1
tahou 2
that 1
the 11
their 1
thwarted 1
time 1
to 2
underground 1
unfortunately 1
vassagonian 1
war 1
well 1
will 1
wolf 3
