658952
/m/02p2sjj
/m/02p2sjj
Patrick O'Brian
1983
{"/m/0hwxm": "Historical novel"}
a 24
aboard 1
about 1
accompanied 1
accused 1
acquaintance 1
across 1
adding 1
admiral 3
admiralty 1
adriatic 1
advances 1
advice 1
after 1
again 1
agents 1
aground 1
almost 1
already 1
also 3
amorous 1
an 4
and 27
andrew 1
are 5
artificially 1
as 2
assassinate 1
assign 1
at 6
attacking 1
aubrey 4
babbingtons 1
back 1
barbary 1
bars 1
bay 2
be 1
bedouin 1
been 3
befriend 1
beginning 1
behind 1
bell 1
better 1
between 1
bitterly 1
blows 1
boat 1
both 1
bought 1
boulay 1
bring 1
brings 1
british 1
brothers 1
but 6
by 6
called 1
camels 1
cannon 1
captain 5
capture 1
captures 1
celui 1
charles 1
chase 3
cheating 1
chest 1
circulated 1
city 1
coast 1
colours 1
command 2
commanderinchief 1
commanding 1
competent 1
consisting 1
consort 1
contains 1
conversation 1
convoy 1
corruption 1
cotton 1
could 1
crew 2
cut 1
damages 1
dead 1
deep 1
desert 1
deserts 1
dey 1
disappointed 1
dispatched 1
diving 1
do 1
dockyard 1
down 2
drag 1
dromedaries 1
dromedary 1
dryad 1
duel 1
dundas 1
edinburgh 1
eighty 1
england 2
escape 1
escaped 1
evening 1
eventually 5
exiting 1
eye 1
failure 1
falls 1
false 1
fictitious 1
fielding 7
fieldings 1
fight 1
find 3
fire 1
first 1
fishing 1
for 7
formally 1
fortification 1
fortunately 1
france 1
francis 1
french 8
friend 1
frigate 1
frigates 2
from 5
galley 4
gambling 1
gibraltar 1
give 2
given 1
goes 1
governor 1
gun 3
gunner 1
had 3
harte 1
has 5
have 1
having 1
he 5
heard 1
heavier 1
heavy 1
hei 1
her 11
here 1
high 2
highly 1
him 5
himself 1
his 6
horsemen 1
house 2
husband 1
i 1
illyrian 1
in 7
indirectly 1
information 2
injustice 1
insisted 1
instructs 1
intelligence 1
intercept 1
into 2
introduces 1
ionian 1
is 8
it 3
italian 1
ives 3
jack 15
journey 1
just 1
laden 1
late 1
le 1
lead 1
leads 1
learns 1
lessons 1
lesueur 1
leuseur 1
liaison 1
lieutenant 4
lit 1
lt 1
lure 1
making 1
malta 4
manages 1
manofwar 1
many 1
martin 1
mascara 2
massive 1
mastiff 1
maturin 2
me 1
meanwhile 1
meet 3
meeting 2
meets 1
men 1
merde 1
mission 4
month 1
months 1
moral 1
mr 1
mrs 4
muchbattered 1
nearly 1
new 1
newlybuilt 1
news 1
niobe 2
not 2
note 1
notices 1
novel 1
nymphe 1
of 13
off 1
offer 1
officers 1
offload 1
old 2
on 10
one 2
only 2
orders 1
out 4
overhears 1
peninsula 1
persuade 1
persuaded 1
piquet 1
placed 1
plants 1
playing 1
plight 1
political 1
pollux 3
ponto 1
port 1
portsmouth 1
pressure 1
pretty 1
previous 1
prisonerofwar 2
privateer 1
promoting 1
pullings 2
qui 1
rate 1
reach 1
recommendation 1
recover 1
red 2
reef 1
refitted 1
refuses 1
renews 1
repair 1
requests 1
rescued 1
rescues 1
retrace 1
return 5
returning 1
revive 1
rowing 1
rude 1
rumour 2
runs 1
sail 3
sails 1
scrapped 1
sea 3
sealed 1
seaphrase 1
second 1
secret 1
secretary 1
seemed 1
sent 1
sets 1
seventyfour 1
ship 1
ships 1
silver 1
sinai 1
sink 1
sir 1
sixtyfour 1
sleeping 1
sloop 1
slow 1
small 1
smaller 1
some 1
sort 1
speed 1
spot 1
spy 1
squadron 1
staff 1
stakes 1
state 1
stephen 5
steps 1
stolen 1
suez 2
surprise 6
surprises 1
take 3
takes 1
taking 1
talked 1
tells 2
that 5
the 58
their 4
them 3
there 2
they 8
third 1
thirst 1
this 2
thrashes 1
threaten 1
time 2
tina 1
to 33
towards 1
traverse 1
treasure 1
trick 1
troop 1
troops 2
turkish 3
two 2
twodecker 1
under 1
unfortunately 2
unpleasant 1
until 1
up 5
use 1
using 1
waiting 2
well 1
when 1
while 2
who 4
whose 1
wife 2
wipe 1
with 8
wray 4
young 1
zambra 3
