7068565
/m/0h2rg0
/m/0h2rg0
Jeff Grubb
1998-05
a 50
ability 2
about 1
accidentally 1
accusations 1
advisor 1
after 7
against 4
age 2
aide 1
aided 1
air 1
alliance 1
allow 1
allows 1
along 1
also 1
altered 1
amalgamation 1
an 16
ancient 2
and 59
angry 1
another 5
appointed 1
apprentice 3
aptitude 1
archaeological 1
archaeologist 1
archeology 1
are 2
argive 1
argoth 1
argument 4
arithmetic 1
armies 4
arms 1
army 3
around 1
arrives 1
artifact 1
artifacts 1
artifice 1
as 3
ashnod 6
at 4
attack 4
attacked 1
attacks 2
attempt 1
attempts 1
automatons 2
awake 1
awakening 1
battle 3
battlefield 2
be 2
because 1
become 2
becomes 3
becoming 1
been 1
before 2
befriend 1
begin 4
beginning 1
begins 1
being 2
beings 1
believes 1
between 3
binkroog 1
bird 1
birthday 1
blast 2
bodies 1
book 1
born 1
both 4
box 1
boy 3
boys 1
brainwashed 1
break 2
bring 2
brings 1
broken 1
brother 6
brotherhood 3
brothers 9
brought 1
build 2
builds 3
burning 1
but 9
by 14
cables 1
called 1
camp 6
can 1
capable 1
capacity 1
capital 2
caravan 1
caught 1
cave 1
caverns 1
chief 1
chieftain 4
city 6
civilization 1
climate 1
clockmaker 1
come 1
completion 1
contest 3
continent 1
continues 1
court 1
creation 1
criminals 1
cross 1
crystal 1
curbed 1
darkhaired 1
day 2
deadly 1
death 1
decades 2
decisively 1
deems 1
demon 3
demoted 1
deposits 1
desert 5
despairs 1
destroy 1
destroyed 1
destroys 1
destruction 1
developing 1
devices 1
did 1
died 1
differing 1
dig 1
diggers 1
disbands 1
discover 1
discoveries 1
discovery 2
discuss 1
does 1
dominaria 2
down 2
dowry 1
dragon 3
drinking 1
during 1
each 4
earlier 1
education 1
effective 1
elf 1
elves 1
encyclopedic 1
end 4
ending 1
ends 1
enemies 1
engines 2
enormous 1
enslaved 1
ensuing 1
entrance 1
equal 1
erupts 1
escalates 1
escapes 2
escaping 1
examining 1
executed 1
exiled 1
exterminate 1
eye 1
eyes 1
failed 1
fails 1
failure 1
fallaji 8
fallen 1
fallingout 1
false 1
father 4
few 1
field 1
fight 2
fights 1
figurines 1
final 1
find 1
finds 1
fire 1
first 3
fixing 1
flees 2
fly 2
flying 1
for 13
forehead 1
formed 1
forms 1
forth 1
found 2
friend 1
from 7
frustration 1
gaea 1
gaining 2
get 2
gets 1
getting 1
giants 2
gives 1
gix 7
goddess 1
godlike 1
gold 1
golgothian 2
grasp 1
great 1
grew 1
grief 1
group 1
grow 1
had 1
hajar 1
half 2
hall 1
hallway 1
hand 2
harbin 1
has 5
hated 1
haunted 1
have 1
having 1
he 10
head 1
heart 2
heated 1
held 1
her 6
him 4
himself 3
his 20
hold 1
homes 1
hopes 2
however 2
ice 1
images 1
in 27
increase 1
infiltrates 1
information 1
infuriated 1
initially 2
instead 1
into 8
invades 1
is 20
island 6
it 2
its 2
jade 1
jamagic 1
joins 1
kayla 3
kill 1
killed 3
killing 1
kingdom 2
kingdoms 2
knowing 1
knowledge 1
knows 1
korlis 1
kroog 2
kroogian 4
land 2
languages 1
large 2
lashes 1
last 2
launch 1
leader 1
leadership 1
leading 2
leads 1
lean 2
learn 1
learning 4
leave 1
leaves 1
left 1
legends 2
lieutenants 1
life 1
like 2
lizard 1
long 1
loran 1
lumber 1
machine 2
machineandman 1
machines 6
made 3
magic 2
main 1
man 2
manages 1
many 4
marriage 1
massive 3
matters 1
mean 1
meanwhile 1
mechanical 4
mechanics 1
meet 1
meeting 1
meets 3
melting 1
member 1
men 1
met 1
metal 2
method 1
middle 1
mightstone 2
military 1
mind 1
mirrors 1
mishra 35
monster 1
months 1
more 4
mostly 1
mountainous 1
mounts 1
moves 1
muscular 1
music 1
mysterious 1
native 1
natives 2
neighbouring 1
nephew 1
new 2
newborn 1
newfound 1
next 1
night 5
not 1
now 1
nowconquered 1
of 50
offered 1
older 2
on 12
one 4
only 1
opens 2
opposing 1
or 1
ore 1
ornithopter 2
other 3
out 1
over 4
own 1
pain 1
part 1
participating 1
past 1
patrols 1
patronage 1
peace 3
pedestal 1
people 3
permanent 1
persuaded 1
phyrexia 1
phyrexian 1
pictographs 1
pitch 1
place 1
plane 1
planeswalker 1
plays 1
plbratobjcza 1
ploy 1
point 1
polluted 1
portal 1
possibly 1
power 5
powers 2
preparing 1
pretense 1
previous 1
princess 2
prologue 1
promoted 1
protector 1
race 1
reach 1
realizes 1
realm 1
rebuilding 1
receiving 1
reconcile 1
region 1
regretting 1
relationship 1
relic 1
remained 1
reminisce 1
residents 1
resources 2
results 1
return 3
reunited 1
revenge 1
rich 1
roc 1
ru 1
ruined 2
ruled 1
ruling 1
rushes 1
same 1
saw 1
scholars 1
school 1
screaming 1
search 1
secret 1
secretly 2
see 1
sees 1
send 1
sends 1
sentimental 1
set 2
she 1
show 2
showing 1
side 2
sides 1
site 1
sits 1
six 1
skin 1
skull 1
slave 2
slaves 1
sleeps 1
so 1
son 5
spend 1
stalemate 1
statue 1
steal 1
stepmother 1
steps 1
still 1
stocky 1
stone 8
stones 2
stop 1
stories 1
story 1
strengthen 1
strengthens 1
stripped 1
strong 1
struck 1
students 1
study 1
succeeds 1
suddenly 1
suitor 1
supply 1
surgically 1
surprise 1
sylex 2
table 1
takes 4
talk 2
talks 2
tamed 1
tames 1
tawnos 3
tawnyhaired 1
teach 1
telling 1
tells 1
ten 1
terisia 1
that 12
the 149
their 9
them 9
these 1
they 10
thin 1
think 1
this 2
though 1
thran 4
three 1
through 2
time 1
tiny 1
to 49
tocasia 8
together 2
transmogrants 1
travel 1
traversing 1
tribe 2
troves 1
turn 1
tutor 1
tutors 1
twisted 1
two 4
uncaring 1
uninterested 1
unleash 1
unleashed 1
unlocking 1
unseen 1
unsuccessful 1
up 1
upon 4
upper 1
upsets 1
urza 33
use 1
uses 3
ushering 1
using 1
value 1
vanish 1
vicious 1
view 2
violent 2
vision 1
visions 1
war 12
warcamp 1
warlord 4
warped 1
was 2
way 1
weaken 1
weakens 1
weakstone 2
weapons 1
well 1
were 4
when 8
where 2
whereabouts 1
which 1
while 6
who 5
wife 1
will 3
win 1
winning 1
wins 3
wiry 1
with 13
without 2
wizard 1
wojna 1
wood 1
word 1
workers 1
world 4
worlds 2
worship 1
worshipped 1
year 1
years 1
yotia 1
yotian 2
younger 1
