5248422
/m/0d9w6m
/m/0d9w6m
Lindsey Davis
1990
{"/m/0lsxr": "Crime Fiction", "/m/02p0szs": "Historical fiction", "/m/02n4kr": "Mystery", "/m/02xlf": "Fiction", "/m/0hwxm": "Historical novel", "/m/0c3351": "Suspense"}
71 1
a 18
accept 1
account 1
acolyte 1
ad 1
aemilius 1
after 1
again 2
against 1
agent 1
almost 1
also 4
amorous 1
an 2
anacrites 4
and 13
any 1
apparently 1
are 4
around 2
arrested 1
arrive 1
arriving 1
arson 2
as 7
at 7
atius 1
attack 2
attempting 1
aufidius 2
aulus 1
authority 1
back 1
banquet 1
barnabas 6
bay 1
be 3
beach 1
because 1
becomes 1
becoming 1
been 7
before 1
begins 1
being 1
believed 1
better 1
brawl 1
brother 2
bursts 1
but 4
by 3
camillus 1
cape 1
caprenius 1
captain 1
captaincy 1
catches 1
caught 1
ceremony 1
clear 1
closer 1
colonna 1
company 2
conducting 1
conspiracy 1
corpse 1
country 1
couple 1
cover 1
crispus 5
crotone 1
curtius 3
danger 1
daughter 1
days 2
dead 1
death 2
decimus 1
decomposing 1
deputy 1
destroy 1
didius 1
discover 1
discovers 1
discreet 1
disposing 1
divorced 1
domitian 1
down 4
due 1
during 1
easier 1
emperor 4
emptying 1
end 1
escapes 1
estate 1
estates 1
evidence 1
execution 1
exhusband 1
expects 1
fact 2
falco 20
family 1
fatherinlaw 1
finally 2
find 2
fire 2
flee 1
following 1
for 5
force 1
forced 1
freedman 4
friend 2
from 2
frontinus 1
future 2
gaditanus 1
gain 1
generous 1
get 1
gift 1
goat 1
gordianus 7
graecia 1
group 1
guard 1
guilty 1
guise 1
had 3
harp 1
has 4
have 1
having 1
he 6
helena 5
her 2
hera 1
herculaneum 1
hercules 1
him 7
his 11
holiday 1
hosting 1
house 1
immediately 2
imperial 2
implicated 2
in 26
inform 1
informed 1
informs 2
intended 1
into 2
investigate 1
involved 3
is 21
it 3
italy 1
julius 1
june 1
justina 4
keep 1
killed 3
laesus 1
larius 2
late 1
line 1
local 1
locate 1
longinus 2
made 1
magistrate 1
magna 1
make 1
manages 1
mansio 1
marcellus 2
marcus 1
marketplace 1
masquerade 1
may 1
meal 1
meet 1
mistaking 1
momus 1
money 1
more 2
mourning 1
moves 1
nature 1
neapolis 1
nephew 2
nero 1
new 1
normally 1
of 22
on 6
once 3
one 1
only 1
order 2
own 1
ox 1
paestum 1
palace 2
paramount 1
pertinax 3
petronius 2
pigs 1
plan 1
plot 2
plumber 1
political 1
poppaea 1
position 1
post 1
praetorian 1
previously 1
priest 1
put 1
questioning 1
rammed 1
regain 1
regime 1
remarry 2
report 1
reports 1
rescued 1
return 2
returned 1
returning 1
returns 1
role 1
rome 5
rufus 3
run 1
runs 1
sacrifice 1
scheme 1
search 1
secrecy 1
see 1
senator 4
sent 3
several 2
shares 1
she 1
ship 1
side 1
silver 1
sister 2
son 1
southern 1
spends 1
spring 1
stays 1
story 1
suggests 1
summoned 1
sumptuous 1
support 1
suspect 1
taken 1
temple 3
that 11
the 50
their 2
then 3
there 3
they 6
this 4
tidying 1
time 1
to 33
traces 1
track 2
tracking 1
tracks 1
traitor 1
transtiberina 1
travel 1
travelling 1
travels 1
treason 1
tricked 1
trireme 1
trying 1
tutor 1
unable 1
under 2
up 2
vanished 1
various 1
verus 1
vespasian 2
victim 1
villa 1
visit 1
visiting 1
was 2
well 2
when 3
where 1
while 1
whilst 1
who 6
whom 1
wishes 1
with 7
without 1
would 3
yacht 2
