30874097
/m/054ymy
/m/054ymy
Hudson Talbott

{"/m/0dwly": "Children's literature"}
a 8
aboard 1
about 3
accidentally 1
after 1
alien 1
allosaurus 2
along 1
american 1
an 1
and 5
arrives 1
as 3
at 1
balloons 2
be 3
become 1
bedtime 1
bleeb 1
broken 1
but 2
by 2
capture 1
captured 1
causes 1
celebrating 1
city 1
come 1
cops 1
cretaceous 1
crowd 1
curator 2
day 2
developed 1
devour 1
dino 2
dinos 7
dinosaurs 2
dr 1
dropping 1
elsewhere 1
feeding 1
flee 1
flying 1
for 3
found 1
friend 1
from 1
future 1
having 1
he 4
helpful 1
hides 1
him 2
his 2
history 1
in 4
inflatable 1
is 3
it 1
land 1
leave 1
lets 1
lifesize 1
macy 1
mistakes 1
model 1
moment 1
museum 1
named 1
natural 1
new 1
night 1
of 6
off 1
on 1
one 2
other 1
out 1
panics 1
parade 2
period 1
piloted 1
police 2
popping 1
present 1
pretend 2
reads 1
real 1
recruits 1
result 1
rex 1
ru 1
ruse 1
sapient 1
satisfies 1
saucer 2
search 1
several 1
she 1
sight 1
smaller 1
sneak 1
soon 1
special 1
stay 1
story 1
takes 2
thanksgiving 1
that 1
the 22
their 1
them 8
they 1
this 1
to 11
travel 1
trial 1
trilobite 1
tyrannosaurus 1
unsure 1
upon 1
vitamin 1
vorb 2
walk 1
wanted 1
watch 1
which 2
while 1
who 2
window 1
with 1
york 1
