7754704
/m/026bxyv
/m/026bxyv
Christopher Fry

1400 1
15th 1
a 19
about 7
absolutely 1
accompany 1
accusations 1
accused 1
accuses 1
action 2
address 1
admission 1
admit 1
admits 1
admitting 1
after 4
again 1
age 1
agree 2
agrees 2
alive 1
alizon 9
all 2
allowed 1
also 1
amazing 1
an 3
and 59
any 1
anyone 1
anything 2
apologising 1
are 4
arrested 2
arrives 1
as 14
asks 1
at 6
attempted 1
attempts 1
attend 2
away 2
awful 1
back 3
battle 1
be 9
beauty 1
because 1
been 2
before 3
befuddled 1
being 5
believe 2
blazing 1
bloody 1
bored 1
boredom 1
both 3
boys 1
brick 1
brief 1
bring 1
brother 1
burned 1
burning 1
business 1
but 9
by 4
cellar 3
century 1
chaplain 7
charm 1
cheer 2
claim 1
claimed 1
claims 2
clamouring 1
cleaned 1
clerk 1
closer 1
comes 2
commands 1
company 1
complaining 1
complains 1
comprehend 1
connection 1
considers 1
constable 3
contact 1
continually 1
continued 1
continuing 1
conversation 1
converse 1
copying 1
costumes 1
countryside 1
crimes 2
crowd 1
crowds 1
dance 1
dancing 1
day 2
dead 2
declares 1
declaring 2
decline 1
defends 1
demands 1
depressed 2
depressing 1
described 1
deserving 2
despite 1
despondently 1
determine 1
devil 2
discharged 1
discuss 2
disgust 1
displeased 1
distracted 2
distraught 3
do 2
does 4
doesnt 3
dog 2
doing 1
dont 1
dream 1
drink 1
drunk 2
during 1
eavesdrop 1
ecstatic 1
either 1
else 1
end 1
engages 1
enter 1
enters 13
escape 1
escapes 1
evening 2
every 1
everyone 4
exactly 1
exchange 1
explaining 1
fact 1
failure 1
family 2
feel 1
fetch 1
fight 2
finally 2
fire 1
fires 1
flesh 1
floor 1
for 10
freely 1
from 2
future 1
gallows 1
garden 3
get 6
give 1
go 2
goes 3
going 2
grow 1
guilt 2
guilty 1
had 3
halfheartedly 1
hand 1
hanged 3
hard 1
has 5
have 2
having 1
he 21
hear 1
heaven 1
hebble 1
her 11
hide 1
him 19
himself 1
his 11
hit 1
home 1
honourable 1
hopelessness 1
horrified 1
host 1
house 5
how 1
humanity 1
humphrey 17
if 2
ignored 1
immediately 1
in 17
inform 1
intentions 1
into 4
invite 1
is 26
it 3
jennet 23
justice 3
killed 2
known 1
ladder 1
laments 1
later 1
laughing 1
laws 1
leave 2
leaving 2
less 1
life 1
lock 1
locked 1
log 1
looking 1
love 2
loves 2
ludicrous 1
lusting 1
lying 1
make 2
man 5
mankind 1
margaret 9
marriage 1
mayor 19
mean 1
mendip 1
mild 1
mocks 1
more 2
morning 2
mother 1
much 1
murder 1
murdered 1
murderer 2
mystical 1
nature 1
nephew 1
new 2
next 2
nicholas 16
night 3
no 2
noises 1
not 9
number 1
of 17
off 4
old 4
on 5
once 1
only 1
opinion 1
or 5
order 1
outraged 1
outside 1
over 9
panic 1
party 7
people 3
place 3
plan 1
play 3
possess 1
powers 1
prayers 1
precedent 1
presence 1
prisoners 2
privacy 1
proclaims 2
property 1
put 2
questions 1
quickly 1
quietly 2
quite 1
reactions 1
ready 1
reason 1
recently 1
reconcile 1
recounting 1
reenter 1
reenters 1
refusal 1
relates 1
released 1
reluctantly 1
reminds 2
repeatedly 1
request 1
return 3
returns 3
reveals 1
richard 15
room 3
rush 1
rushes 2
sadness 1
same 1
satisfied 1
savings 1
saying 1
says 1
scrub 1
searching 1
seduce 1
sends 2
sent 1
sentence 1
sentences 1
shall 1
shares 1
she 15
shocked 2
sister 1
sitting 1
situation 1
slip 2
so 2
soldier 1
somewhat 2
soon 3
speak 1
speaks 1
statement 1
still 1
stopped 1
stops 2
street 1
substantial 1
such 1
suggests 2
take 2
takes 5
taking 1
tales 1
talk 1
talks 1
tappercoom 9
tardiness 1
tell 1
tells 4
tempting 1
terms 1
that 26
the 98
their 2
them 1
then 2
there 3
they 14
things 1
think 2
thomas 24
though 1
threatens 1
three 2
through 1
thus 1
time 1
tired 1
to 49
together 2
tongs 1
tortures 1
town 1
tries 2
turned 1
two 1
tyson 2
unable 1
unfairness 1
until 1
unusual 1
up 4
upset 1
upstairs 1
urges 1
venus 1
very 2
vexed 1
waiting 1
wants 1
was 2
well 1
what 1
whatever 1
where 1
whether 1
who 3
whole 1
why 2
wife 1
wild 1
will 4
wine 1
witch 5
witchhunt 1
with 10
without 1
woken 1
word 1
world 3
year 1
yells 1
