23974620
/m/076xrg_
/m/076xrg_
Jeanne Kalogridis
2003-03
a 3
abandoned 1
act 2
again 1
alien 1
an 1
and 2
archer 2
as 1
be 1
believes 2
brilliant 1
captain 2
character 1
colleagues 1
comes 1
committed 1
confront 1
contact 1
crewmates 1
dilemma 1
draws 1
emphasise 1
endangering 1
entire 1
few 1
first 1
for 1
forced 1
forsaken 1
franchise 1
has 2
headlong 1
her 6
illogical 1
instinctively 1
into 1
is 3
it 1
its 1
jonathan 1
kills 1
life 3
many 1
most 1
must 1
naturefrom 1
needs 2
new 1
newfound 1
nonviolent 1
of 11
officer 1
once 1
one 1
or 2
outweigh 1
pacifism 1
phaser 1
philosophical 1
popular 1
pulled 1
race 1
reacts 1
regimes 1
rushes 1
sacredness 1
save 1
science 1
selfbetrayal 1
selfdefence 1
selfimposed 1
she 2
ship 1
simple 1
star 1
stay 1
story 1
strictest 1
subcommander 1
successful 1
superior 1
surak 2
take 1
teachings 2
the 13
they 1
this 1
those 1
threatened 1
to 3
tpol 5
trek 1
true 1
ultimate 1
under 1
vulcan 3
was 1
when 1
