1863394
/m/06205x
/m/06205x
Khushwant Singh

a 11
active 1
after 2
agree 1
agreed 1
almost 1
also 1
an 1
and 5
another 2
appearing 1
as 5
at 1
author 1
back 1
beautiful 1
bed 2
been 1
before 1
being 1
bhardwaj 1
bird 1
black 1
book 1
brown 1
but 2
by 2
came 1
charm 1
continues 1
counterpart 1
dark 1
described 2
describes 1
dhanno 1
divorce 2
divorced 1
drunkard 1
english 1
escapades 1
everobliging 1
feels 1
for 1
from 1
gets 1
gomes 1
has 3
he 1
heady 1
her 3
highly 1
his 6
honeymoon 1
husband 2
illtempered 1
impulse 1
in 6
incarnation 1
including 1
india 1
inviting 1
it 2
jessica 1
joseph 1
kumar 6
kumars 2
lady 3
lanka 1
life 4
like 1
likewise 1
live 1
looked 1
lost 1
madam 1
maid 1
male 1
many 1
married 1
marry 1
men 1
mistress 1
mohan 5
molly 1
ms 1
nagging 1
not 2
nurse 1
of 5
older 1
on 3
one 1
only 1
pakistani 1
passion 2
plump 1
post 1
practiced 1
princeton 1
professor 2
proved 1
really 1
relations 1
relationship 1
relieved 1
rendezvous 1
repeated 1
revealed 1
saar 1
sarojini 1
sensual 1
settles 1
sex 3
sexuality 1
shakti 1
she 3
small 1
son 1
sri 1
still 1
stronger 1
student 1
susanthika 1
tacitly 1
tamilian 1
than 2
that 1
the 10
their 1
these 1
thirties 1
this 1
to 7
undiminished 1
unfaithful 1
university 1
unusual 1
us 1
usa 1
varied 1
virginity 1
was 6
waste 1
wedding 1
were 1
when 1
while 1
who 1
wife 1
with 4
without 1
woman 3
women 1
wonderful 1
words 1
worked 1
yasmeen 1
you 1
