171648
/m/0171h9
/m/0171h9
William Styron
1979
{"/m/05hgj": "Novel"}
147 1
a 22
abusive 2
affair 1
albeit 1
alcoholic 1
allowed 1
almost 1
already 1
also 1
although 3
an 3
and 24
antisemitic 1
anything 1
are 2
arrest 1
arrived 1
arriving 1
as 6
at 6
attempt 2
attempts 1
auschwitz 2
aware 1
back 1
be 3
beautiful 1
became 1
become 1
becomes 1
been 2
before 1
began 1
begins 1
behaves 1
believe 1
benzadrine 1
biologist 2
blond 1
blueeyed 1
boarders 1
boarding 1
book 1
both 1
brief 1
brilliant 1
brooklyn 2
brother 1
but 1
by 5
camp 2
camps 1
cannot 1
cellular 2
cheap 1
child 1
children 2
choice 1
choose 1
chose 1
claims 1
clearly 1
cocaine 1
commander 1
commit 1
committed 1
company 1
concentration 1
continue 1
could 1
cyanide 1
darkest 1
daughter 2
deathbed 1
decision 1
deepest 1
deeply 1
delusional 1
delusions 1
depressed 1
describes 1
despite 2
devastated 1
devote 1
die 1
difficult 1
disappears 1
discovers 1
doctor 1
does 1
drawn 1
drugs 1
duke 1
early 1
effort 1
employer 1
end 1
enter 1
eva 2
fabrication 1
fact 1
failed 1
fantasies 1
fantastically 1
farm 1
fate 1
father 2
fellow 1
filled 1
fired 1
first 1
flee 1
food 1
for 1
frighteningly 1
from 2
fulfills 1
gassing 1
generously 1
genius 1
german 1
germanspeaking 1
got 1
graduate 2
guilt 1
harvard 1
has 6
have 4
having 1
he 13
heartrending 1
help 1
her 18
him 4
his 9
home 1
hopes 1
house 2
however 1
hss 2
ideas 1
ii 1
immediately 1
in 15
including 2
ingesting 1
inherited 1
intense 1
interned 1
into 2
involved 1
is 16
it 1
jealous 1
jewishamerican 1
job 1
kill 1
knows 1
krakow 1
landau 1
larry 2
later 1
law 1
learn 1
learned 1
learns 1
leave 1
leaving 1
lebensborn 1
led 1
left 1
like 1
live 1
lives 1
lovers 1
lowlevel 1
made 1
many 1
marriage 1
mcgrawhill 1
means 1
might 1
mind 1
months 1
more 1
mother 1
mourning 1
moved 1
must 1
named 1
narrated 1
nathan 12
nazis 1
never 3
night 2
no 1
normally 1
not 1
note 1
novel 2
novelist 1
now 1
obtains 1
of 15
on 4
one 1
only 2
order 1
out 1
outbreaks 1
overcome 1
paranoid 1
particularly 1
past 1
peanut 1
persuade 2
pfizer 1
pharmaceutical 1
polishcatholic 1
professor 1
program 1
progresses 1
proposes 1
publisher 1
purportedly 1
quite 1
raised 1
reader 2
recalling 1
receives 1
relates 1
relationship 1
relieves 1
return 1
revealed 1
reveals 1
rudolf 1
sacrifice 1
sadistic 1
says 2
schizophrenic 2
secret 1
seduce 1
selfdestruct 1
selfmedicating 1
sevenyearold 1
sexual 1
shared 1
she 10
should 1
smuggling 1
sodium 1
some 1
sometimes 1
son 2
sophie 13
specifically 1
spoken 1
spread 1
stenographertypist 1
stingo 12
stint 1
story 2
styron 1
suicide 2
summer 2
summons 1
supposedly 1
survivor 1
tells 1
that 16
the 21
them 1
there 2
this 3
threatens 1
times 1
to 19
tried 2
two 2
ultimately 1
unwillingness 1
upon 1
violent 2
violently 1
virginia 1
virginity 1
war 1
was 2
way 1
what 1
when 1
where 2
which 6
while 1
who 4
willing 1
with 6
working 1
world 1
would 3
writer 1
writing 1
zawistowska 1
