5780538
/m/0f45wj
/m/0f45wj
Harry Turtledove
1996-01-01
6 1
75 1
a 14
abandoned 1
able 1
abusing 1
access 2
actively 1
actually 1
again 1
against 3
ahead 1
air 2
airfield 1
all 2
allowing 1
alongside 1
also 2
americans 2
an 6
and 22
another 2
anticipate 1
are 6
area 2
areas 1
around 1
arrest 1
artillery 2
as 2
at 4
atomic 4
attack 2
atvar 5
back 1
base 2
bases 1
battle 1
be 2
because 1
been 3
before 2
behind 1
being 1
ben 1
berating 1
between 1
big 1
blast 1
blitz 1
bomb 2
bombardment 1
breaking 1
britain 2
british 3
brixworth 1
but 4
by 6
came 1
captains 1
captured 1
centered 2
chemical 1
china 1
churchill 1
city 1
command 1
commander 1
commanders 2
communist 1
condition 1
confidence 1
conflict 1
conquest 1
consequences 1
considered 1
constantly 1
control 1
countries 1
craft 1
de 1
deaths 1
defects 1
demands 1
depose 1
describe 1
describes 1
detonate 1
detonated 1
devastated 1
develop 1
did 1
died 1
disobedience 1
driver 1
each 1
earth 1
efforts 1
either 1
engage 1
enraging 1
entire 1
escalate 1
evacuates 1
even 1
exchange 1
exposed 1
facto 1
fails 1
fallen 1
falls 1
far 1
feel 1
fighting 1
fire 1
first 1
fleet 2
fleetlord 1
flying 1
for 3
force 1
forces 2
france 2
from 5
front 1
full 1
furious 1
gain 1
garrison 1
gas 4
german 2
germanheld 1
germans 1
germany 2
ginger 1
given 1
guerrillas 1
gunships 1
had 2
harborough 2
has 1
have 4
he 2
head 1
heavy 1
helicopter 1
henleyonthames 1
him 4
hold 1
home 1
hot 1
human 3
humans 4
hurry 1
ignore 1
in 17
includes 2
including 1
incompetent 1
inspires 1
insurrection 1
intact 1
into 1
invasion 2
is 6
islands 1
it 2
lag 1
landcruiser 1
landmarks 1
larger 1
last 1
launches 1
leader 1
line 1
link 1
lizard 4
lizards 4
london 1
longer 1
loses 1
low 1
maidenhead 1
main 1
majority 1
make 1
makes 1
many 4
market 2
may 1
meet 1
miserable 1
morale 1
moscow 1
most 1
much 1
mustard 2
mutinies 1
narcotic 1
no 2
north 1
northampton 2
northern 2
not 1
nuclear 1
number 1
obliterated 1
occupy 1
of 21
on 3
one 3
only 1
onto 1
orders 2
original 1
out 1
outlawed 1
over 1
own 2
oxfordshire 1
panic 1
parts 1
plan 1
plutonium 2
pocket 2
point 1
poison 2
pushed 1
race 14
range 1
real 2
recognizes 1
regardless 1
remains 1
require 1
result 1
retreat 1
russians 1
sample 1
samples 1
sarin 1
scaldwell 1
section 1
seems 2
sent 1
ship 1
shiplord 1
shiplords 1
shocked 1
shoots 1
short 1
siberia 1
silence 1
soldiers 3
soon 1
south 2
southern 2
soviets 3
spaceship 1
spratton 1
starts 2
state 1
states 2
step 1
stop 1
story 1
straha 3
subjected 1
such 4
suffers 1
support 1
survived 1
sussex 1
tabun 1
tangmere 1
tank 1
technology 1
terrible 1
text 1
than 1
that 5
the 59
their 8
them 1
these 1
they 5
theyre 1
third 1
though 1
through 2
thrown 1
thrust 1
time 1
timeline 2
to 19
totally 1
truly 1
two 2
united 2
unprepared 1
unthinkable 1
usa 1
use 4
used 3
ussmak 2
villages 1
vote 3
warnings 1
was 3
weapon 2
weapons 1
weather 1
west 1
when 1
which 6
will 1
with 2
works 1
world 1
would 2
years 1
yet 1
