2332270
/m/074d89
/m/074d89
Elizabeth Gaskell
1855
1 1
10 1
18 1
a 16
about 3
accomplished 1
action 1
admire 1
affairs 1
after 3
all 1
also 1
an 4
and 38
anger 1
another 1
appreciate 2
approaches 1
are 1
argument 1
around 1
arrive 1
as 8
assumes 1
assumptions 1
at 2
attracted 1
aunt 2
away 1
back 1
barrister 1
be 1
beauty 1
before 1
begins 1
bell 5
bessy 2
better 1
black 1
born 1
brewing 1
brother 3
brought 1
business 2
bustling 1
but 5
by 3
can 1
captain 2
cared 1
carries 1
case 1
church 1
circumstances 1
city 2
clash 1
closed 1
coarse 1
comes 1
consciencehis 1
considerable 1
consumptive 1
continue 1
convinced 1
cotton 1
cottonmanufacturing 1
country 1
counts 1
cousin 1
culpability 1
darkshire 1
daughter 2
death 1
decide 1
declares 1
declines 1
develops 1
dies 4
disagree 1
dislikes 1
disperses 1
dissenter 1
do 2
down 2
during 1
dust 1
dying 1
each 2
edith 2
engaged 1
england 1
ensues 1
especially 1
even 1
eventually 2
evidence 1
factory 1
father 1
figure 1
finally 1
financial 1
finds 1
first 1
fluctuations 1
for 3
forced 1
frederick 5
friend 2
friendship 1
from 9
front 1
fuel 1
gets 1
go 1
gradually 1
growing 1
hale 4
hands 1
happily 1
hardworking 1
harsh 1
has 2
haughty 2
having 1
he 10
helstone 4
henry 1
her 9
herself 1
higgins 3
him 4
himself 1
his 9
home 1
honesty 1
house 1
how 1
idyllic 1
ill 1
implores 1
in 12
incensed 1
includes 1
indoors 1
industrial 2
influential 1
inhalation 1
intellectual 1
intervene 1
intervenes 1
investigating 1
irish 1
is 12
it 2
its 1
job 1
john 1
knows 1
lacking 1
lady 1
later 1
learn 2
learns 2
leaves 2
legacy 1
lennox 1
leonards 4
lied 1
lies 1
life 1
lifted 1
liked 1
live 1
lived 1
london 3
longabsent 1
love 2
lover 1
made 1
magistrate 1
man 1
manages 1
manufacturer 1
margaret 21
margarets 1
market 1
marlborough 2
marriage 1
marries 1
marry 1
master 1
masters 2
matter 1
meant 1
meantime 1
merely 1
middle 1
mill 1
mills 2
milton 2
miltonnorthern 1
mob 4
months 1
more 2
mother 2
mr 9
mrs 1
must 1
mutiny 1
naval 1
nearly 1
never 1
nicholas 3
not 2
odds 1
of 13
offended 1
offer 1
old 1
oldest 1
on 3
one 1
organized 1
other 2
outset 1
owns 1
oxford 2
pastor 1
people 1
person 1
police 1
poverty 2
presents 1
prodding 1
production 1
professing 1
property 1
proposal 1
proposes 1
prostrate 1
pupil 1
pushes 1
question 1
reach 1
realize 1
recognizes 1
rectory 1
reduced 1
refused 1
region 1
representative 1
requests 1
resolution 1
result 1
returns 1
revolution 1
rich 1
rising 1
says 1
scuffle 1
secretly 1
sees 3
selfassurance 1
seriously 1
settle 1
settles 1
shaw 2
she 12
shortly 1
smack 1
smoky 1
so 1
soldiers 1
southern 2
spends 1
station 1
stone 1
stop 1
strange 1
strike 3
strikes 1
struck 1
suggestion 1
talk 1
tell 1
textileproducing 1
that 2
the 29
their 2
there 2
they 3
third 1
thornton 15
threatens 1
to 19
together 1
too 1
town 2
train 1
truth 1
turned 1
tutor 1
unconscious 1
understand 1
unfeeling 1
union 1
upset 1
upside 1
village 1
violence 1
visits 3
wanted 1
was 2
ways 1
wealthy 1
when 1
where 2
which 1
while 1
who 1
whom 1
wife 1
will 1
with 9
workers 6
works 1
years 1
young 1
