18026096
/m/047ml1s
/m/047ml1s
James Luceno

1 2
43 1
a 9
aboard 1
aby 1
accident 1
acted 1
action 1
adventures 2
after 1
aged 1
all 2
alliance 1
almost 1
an 3
and 11
animal 1
another 1
apocalypse 1
arrested 1
arrive 1
as 5
assembly 1
attracting 1
awakens 1
back 3
barely 1
battle 1
bby 2
be 1
became 1
because 1
been 1
businessman 1
but 1
by 1
called 1
calling 1
calrissian 1
came 1
captaining 1
centenarian 1
chancellor 1
chief 1
civil 2
clone 1
collapsing 1
coma 2
come 1
conspirators 1
copilot 1
coruscant 3
cross 1
daala 1
dead 1
decide 1
defeating 1
delves 1
discern 1
discover 2
during 2
duurmun 3
earlier 1
end 1
ends 1
envoy 3
erratic 1
escape 1
eventually 1
exciting 1
explodes 1
factfinding 1
failed 1
fake 1
falcon 4
falcons 1
find 3
first 2
flies 1
flitcher 1
for 3
forward 1
freighter 1
from 4
galactic 3
go 1
great 1
had 5
han 1
hands 1
happened 1
has 1
having 1
heels 1
help 2
him 1
hires 1
his 2
history 1
hyperspace 1
iii 3
in 12
into 2
intriguing 1
invasion 1
is 1
it 6
jacen 1
jadak 7
journey 1
jump 1
just 1
killed 1
lack 1
landed 2
lando 1
lasted 1
lead 1
leader 1
lestra 1
like 1
line 1
long 1
luke 2
magnet 1
make 1
many 2
meant 1
meanwhile 1
millennium 3
mission 2
more 1
much 1
mysterious 3
name 1
names 1
natasi 1
neerdowell 1
no 1
novel 2
object 2
of 14
off 1
old 1
on 4
one 1
order 2
origins 1
other 1
out 3
overthrow 2
owned 1
oxic 2
palpatine 2
part 1
parties 2
paths 1
place 1
planet 2
plot 1
poste 3
real 1
reeze 1
republic 1
reveals 1
second 2
ship 1
since 1
sixty 1
skywalker 1
so 1
solo 2
solos 4
state 1
stellar 2
supreme 1
tandun 3
than 1
thanks 1
that 5
the 40
their 4
them 1
then 1
these 1
they 7
time 5
to 14
tobb 1
treasure 4
turns 1
two 1
under 1
undergone 2
until 1
upon 1
vong 1
wants 1
war 2
wars 1
was 2
way 2
what 1
when 4
which 1
who 1
wild 1
will 1
with 5
work 2
world 1
wrought 1
years 3
yuuzhan 1
