4595898
/m/0cbr5d
/m/0cbr5d
Anthony Powell
1955
{"/m/06nbt": "Satire", "/m/05hgj": "Novel"}
133 2
a 6
affair 2
also 1
an 3
and 11
appointment 1
arranges 1
arrives 1
as 1
at 5
bas 2
bed 1
book 2
boring 1
boys 1
but 2
by 4
chair 1
clairvoyant 1
clarke 2
collapsing 1
concerns 1
day 1
demonstration 1
dines 1
dinner 1
drink 1
drunken 1
due 1
duport 1
encounters 2
end 1
ends 1
erdleigh 2
eventually 1
follow 1
foppa 1
for 5
fortunes 1
further 1
giles 1
has 2
his 2
home 1
hotel 1
house 1
in 6
including 1
intimations 1
introduced 1
invited 2
is 5
jean 4
jenkins 3
jimmy 1
john 2
kept 1
later 1
le 2
leave 1
led 1
maidenhead 1
makes 1
master 1
meet 1
meets 1
members 3
mona 2
mrs 2
nick 4
novelist 1
of 2
old 1
only 1
over 2
party 1
peter 1
pompous 1
presides 1
proceeds 1
quiggin 4
replaced 1
restaurant 1
ritz 2
seance 1
secretary 1
sees 2
silenced 1
speech 1
spends 1
spring 1
st 2
start 1
stringham 3
stripling 1
stroke 1
summer 1
sunday 1
take 1
tea 1
tell 1
templer 2
templers 1
the 12
their 1
there 2
this 1
to 9
tow 1
ufford 1
uncle 1
uninvited 1
various 1
visit 1
weekend 1
wheeled 1
who 2
widmerpool 3
with 8
worse 1
