912416
/m/03p7jv
/m/03p7jv
Simon Clark
2001
{"/m/06n90": "Science Fiction", "/m/0hc1z": "Apocalyptic and post-apocalyptic fiction", "/m/014dfn": "Speculative fiction"}
25nbspyears 1
a 9
advantage 1
after 1
air 1
american 1
an 3
and 7
appears 1
are 3
as 2
at 1
band 1
base 1
be 1
begins 1
being 1
beings 1
blame 1
blinded 1
blotting 1
book 1
both 1
but 2
by 5
carnivorous 1
city 1
cloud 1
community 2
contact 1
contained 1
crashlands 1
dangerous 1
darkness 2
david 3
day 1
deadly 1
determine 1
dictator 2
dictatorship 1
dominated 1
ended 1
enemy 1
even 1
evolved 1
fact 1
falls 1
father 1
first 1
floating 1
forms 1
friend 1
from 1
girl 1
glance 1
grown 1
has 1
have 1
he 2
high 1
his 3
home 1
human 1
if 1
in 4
into 1
is 3
island 2
isle 2
it 1
lifting 1
like 1
loses 1
manhattan 2
masen 2
meets 1
meteor 1
more 1
most 1
mysterious 1
new 1
now 1
of 6
old 1
on 3
one 1
oppose 1
original 1
orphaned 1
out 1
pair 1
pilot 1
plants 1
populated 1
realises 1
rebels 1
related 1
rescued 1
rule 1
run 1
safe 1
secure 1
self 1
sequel 1
ship 1
shower 1
since 1
slowly 1
something 1
soon 2
starts 1
story 1
subsequently 1
sun 1
take 1
taken 1
takes 1
that 1
the 17
there 1
to 6
triffid 1
triffids 3
trying 1
tyrannical 1
up 1
used 1
utopia 1
venomous 1
were 1
which 1
while 1
who 1
wight 2
with 1
world 1
york 1
young 2
