8817683
/m/027kt60
/m/027kt60
Gordon Thomas
1991
a 6
able 1
about 1
accidental 1
african 1
after 3
agents 1
allowing 1
an 2
and 4
anthrax 2
anywhere 1
arabs 3
are 1
attack 1
bc 1
be 1
begins 1
bombings 1
but 2
by 1
calls 1
chinese 3
contacts 1
could 2
david 1
deadly 1
deal 1
dealing 1
discovers 2
dollars 1
entire 1
escape 1
for 1
form 1
from 1
he 4
high 1
highly 1
hired 1
hotels 1
in 2
including 1
initiated 1
intercepts 1
into 1
is 4
it 1
item 1
jungle 1
kill 1
killing 1
lethal 1
likely 1
listens 1
london 1
million 1
millions 1
morton 3
mossad 1
most 2
movements 2
must 1
new 1
not 1
now 1
of 6
on 1
one 1
or 1
parents 1
perfume 1
probability 1
purchasing 1
raza 3
release 1
several 2
staying 1
stop 2
terrorist 2
that 2
the 10
their 2
three 1
to 3
tracking 2
trade 1
two 1
unknown 1
unleashing 1
us 1
village 1
was 1
where 1
which 1
who 1
with 1
world 1
