20542932
/m/051z7zg
/m/051z7zg
Stuart Hill
2008-07-07
a 5
able 2
about 1
adepts 1
after 1
afterward 1
against 1
allies 1
an 2
and 14
another 1
anyone 1
are 2
armies 1
army 1
artemision 1
as 2
at 2
attack 2
being 1
bellorum 1
blade 1
bloodline 1
book 1
boy 1
break 1
by 1
came 1
cannot 1
caused 1
cavalry 2
civil 1
clan 1
confront 1
containing 1
cost 1
creatures 1
cronus 4
dark 1
darkness 1
defeat 2
defeated 1
defeats 1
defends 1
delay 1
demons 2
described 1
dinosaur 2
dying 1
emperor 1
empire 5
end 1
enemy 2
entrusted 1
erinor 4
everything 1
father 1
fire 1
for 4
friendship 1
from 4
fully 1
give 1
given 1
gone 1
granddaughter 1
has 3
hated 1
have 4
hear 1
heart 1
help 1
her 5
his 5
hopes 1
however 1
husband 1
hypolitan 1
ice 2
icemark 8
imp 1
in 5
intending 1
into 1
invading 2
invasion 1
is 5
kill 1
knowledge 1
leads 1
learned 1
left 1
life 1
like 1
look 1
love 2
loving 1
managed 1
many 1
may 1
medea 3
meeting 1
move 2
murder 1
northern 1
not 1
now 1
oblivious 1
of 13
on 3
once 1
ones 1
only 1
open 1
order 1
oskan 3
other 1
own 1
passed 1
pious 1
place 1
plea 1
point 1
polypontian 2
polypontians 3
power 1
prejudice 1
prevent 1
queen 1
realizes 1
reluctant 1
remains 1
responding 1
sacrifice 1
says 1
second 1
secret 1
settles 1
she 2
since 1
soul 1
souls 1
started 1
strong 1
take 1
teens 1
territory 1
that 8
the 29
their 4
them 1
themselves 1
there 1
therefore 1
they 3
thirrin 3
this 1
though 1
to 14
transformed 1
triceratops 1
trihorns 1
two 1
undead 1
until 1
up 1
upon 1
vampire 1
vampires 1
warning 1
warrior 1
wars 1
was 2
well 1
what 2
when 1
while 1
who 1
willing 1
with 2
without 1
years 1
yet 1
young 1
