2050049
/m/06hkyf
/m/06hkyf
Joris-Karl Huysmans
1884-05
a 6
academically 1
adores 1
aesthetic 1
affairs 1
after 1
age 2
ages 1
amongst 1
an 2
and 15
another 1
anyone 1
approved 1
apuleius 1
art 1
as 7
at 2
auguste 1
authors 2
await 1
back 1
barbarous 1
barbey 1
baudelaire 1
book 2
bouvard 1
but 2
by 2
cancels 1
catholic 1
causes 1
christian 1
cicero 1
clearly 1
collection 1
compares 1
conducts 1
consists 1
contemplation 1
contempt 1
convinced 1
corbire 1
countryside 1
creates 1
creature 1
critics 1
dark 1
daurevilly 1
day 1
de 1
death 1
debauched 1
decadent 2
decides 2
delighted 1
derived 1
des 2
dickens 1
diet 1
dines 1
disgusted 1
disillusion 1
dismissed 1
drawing 1
early 1
eclectic 1
embrace 1
english 1
episode 1
episodes 1
esseintes 2
events 1
eventually 1
exclaims 1
experiments 1
expressed 1
extra 1
extremely 1
family 1
fiction 1
fills 1
flaubert 1
flowers 1
follow 1
for 2
forfeit 1
french 2
from 2
garden 1
gemstones 1
golden 1
gustave 2
hand 1
has 4
he 18
health 1
him 3
his 15
home 1
house 2
human 2
idiosyncratic 1
if 1
in 10
intellectual 2
inventing 1
is 2
it 1
its 1
jean 1
last 2
late 1
later 1
latin 2
left 1
life 3
lines 1
lisleadam 1
literature 3
lived 1
london 1
love 1
mainstream 1
mallarm 1
member 1
moreau 2
most 1
movement 1
nascent 1
nights 1
noble 1
nonbeliever 1
notably 1
nothing 1
notions 1
novels 1
of 23
on 2
once 1
one 1
only 1
or 1
paintings 2
paris 4
past 1
paul 1
pecuchet 1
people 1
perfumes 1
petronius 1
philosophy 1
plans 1
poetry 1
poisonous 1
powerful 1
preferring 1
product 1
proud 1
reading 1
recalls 1
rejecting 1
rejects 1
religion 1
reprints 1
requiring 1
resemblance 1
respectable 1
rest 1
restaurant 1
retreats 1
return 2
returns 1
romantics 1
schopenhauer 1
seen 1
set 1
shell 1
shows 1
silver 1
society 2
spend 1
stphane 1
studies 1
style 1
such 2
surrealistic 1
survey 1
symbolist 1
take 1
telling 1
that 3
the 26
their 1
theme 1
then 1
though 1
throughout 1
to 11
toll 1
tortoise 1
train 1
tries 1
trip 1
tristan 1
truth 1
trying 1
unorthodox 1
usually 1
various 1
verlaine 1
villiers 1
virgil 1
visit 1
waiting 1
was 1
weight 1
well 2
were 1
which 2
while 1
whose 1
with 3
without 1
works 2
would 1
writers 2
