8794566
/m/027j_sp
/m/027j_sp
Richard Price
1992
{"/m/0lsxr": "Crime Fiction"}
a 22
about 2
abuse 1
accounts 1
across 1
after 2
again 1
agrees 1
ahab 2
already 1
also 1
america 1
an 4
and 22
andre 1
apparently 1
are 1
arrested 1
as 6
asks 1
assailant 1
assigned 1
assistant 1
assumes 1
at 4
author 1
back 2
bar 1
barnes 2
be 2
been 4
begins 1
behind 2
believes 2
believing 1
bit 1
bizarre 1
boast 1
borrowing 1
both 2
brings 3
brother 3
buddha 7
bus 1
business 1
but 5
buy 1
buying 1
buys 1
by 5
champ 10
chief 1
choice 1
city 3
clockers 1
cocaine 7
command 1
committed 1
confession 1
confronts 1
control 1
cop 1
corner 1
could 1
cryptically 1
curiosity 1
cut 1
darryl 10
day 1
dead 1
dealer 1
death 1
decided 1
deduce 1
dempsey 2
despite 1
detective 1
difficult 1
discovers 1
do 1
does 1
driving 1
drug 6
drunk 1
drunken 1
dunham 1
earlier 1
encounters 2
ends 1
enforcer 2
errol 2
expects 1
extensive 1
facing 1
fact 1
father 1
fearing 1
fearsome 1
fictional 1
figure 1
finally 1
find 1
finds 1
fish 1
follows 1
for 5
forcibly 1
found 1
free 1
friendly 1
friendship 1
from 4
full 1
gesture 1
get 1
giant 1
girlfriend 1
gives 1
giving 1
goes 2
greyhound 1
gun 2
had 5
has 4
hassled 1
hat 7
hating 1
have 2
he 18
headquarters 1
hesitates 1
him 11
his 16
homicide 1
housing 1
if 2
impulsively 1
in 12
inevitable 1
innocent 1
instead 1
intertwining 1
into 1
introduced 1
introduces 1
investigate 1
investigation 1
is 13
it 3
jersey 2
job 1
just 2
kept 1
kill 2
killed 6
klein 2
knows 1
larry 1
later 1
lawabiding 2
lead 1
learns 1
leaves 2
level 1
lieutenant 1
life 3
likely 1
little 2
local 2
lord 1
lot 1
low 1
madeup 1
man 3
manager 1
many 1
match 1
matter 1
mazilli 1
mean 1
meanwhile 1
meet 2
moment 1
more 2
mother 1
much 1
mule 1
murder 5
murdered 1
murderer 1
murderous 1
my 2
needs 1
new 2
next 1
nj 1
no 1
noncommittally 1
not 1
novel 1
nyc 1
obrien 1
of 10
offer 1
officer 2
on 2
organization 3
other 1
out 2
overseer 1
panicked 1
panics 1
papi 4
parking 1
part 1
participate 1
partner 1
pass 1
pay 1
pays 1
peep 1
permanently 1
perplexing 1
pick 1
plan 1
police 4
position 1
previous 1
price 1
proclaims 1
profits 1
projects 1
promoted 1
puertorican 1
questioning 2
quickly 1
realize 1
recognizes 1
refused 1
reputation 1
researching 1
responds 1
restaurant 3
return 1
reveals 2
richard 1
rocco 6
rodney 10
ronald 1
ruining 1
sales 1
scoping 1
second 1
secret 1
see 1
sees 1
selfdefense 1
selling 2
sends 1
sentence 1
several 1
shares 1
shipment 1
shocked 1
shot 3
show 1
side 1
similarities 1
someone 1
spent 1
station 1
story 3
storylines 1
street 1
strike 29
subject 1
subplot 1
suggested 1
suggests 1
supplier 1
surprised 1
take 3
taken 1
takes 2
talking 1
tell 1
tells 1
than 2
that 14
the 18
their 2
them 2
there 1
they 1
thinking 2
this 2
threatens 1
through 1
ticket 1
time 1
times 1
to 31
treachery 1
tries 1
tyrone 3
undercover 2
ungrateful 1
unknown 1
unless 1
up 1
victor 6
violence 1
violent 2
visit 1
was 5
way 1
week 1
well 1
went 1
when 3
where 5
which 1
while 2
who 9
wholesaler 1
wholesales 1
whom 1
wife 1
will 2
with 4
without 1
witness 1
worked 1
workingman 1
works 1
would 1
york 1
young 1
