11423191
/m/02rc4k2
/m/02rc4k2
Ned Vizzini

{"/m/03mfnf": "Young adult literature", "/m/01z4y": "Comedy"}
15 1
1800suicide 1
a 7
aaron 1
ability 1
abuse 1
academic 1
admission 1
admitted 2
affected 1
after 1
among 1
an 3
and 12
anxiety 1
arduously 1
art 2
as 3
at 1
attends 1
becomes 1
begins 1
best 1
brain 1
builds 1
by 4
calls 1
city 1
class 1
confronts 1
coped 1
counselor 1
craig 6
cutting 1
deal 1
delusional 1
depression 2
discovers 1
disorder 1
do 2
during 1
eat 1
eating 1
encouraged 1
end 1
eventually 1
excites 1
executive 1
experiments 1
face 1
family 2
female 1
fend 1
for 1
friend 1
friendly 1
from 2
girlfriend 1
great 1
habits 1
has 2
having 2
he 14
health 1
help 1
her 1
high 1
him 1
his 14
history 1
home 1
hospital 1
hospitalization 1
however 1
ideation 1
in 4
intense 1
is 3
isolation 1
itself 1
kiss 1
learn 1
list 1
live 1
lives 1
love 1
manhattan 1
manifests 1
many 1
maps 1
marijuana 1
medication 1
meets 2
mental 1
narrates 1
narrator 1
natural 1
nearby 1
neighborhood 1
new 1
nia 1
noelle 2
novel 1
now 2
of 6
off 1
old 1
once 3
or 1
other 1
others 2
outside 1
overwhelmed 1
patient 1
patients 1
preprofessional 1
prescribed 1
pressure 1
prestigious 1
principal 1
protagonist 1
psychiatric 1
psychiatrist 1
read 1
reclusive 1
recovered 1
recovery 1
regains 1
returns 1
run 1
says 1
school 4
scissors 1
sexual 1
shift 1
sleep 2
some 1
sources 1
specifically 1
stops 1
stress 1
studied 1
stylized 1
such 1
suggests 1
suicidal 2
supported 1
taking 1
talent 1
teenager 1
tells 1
that 3
the 8
then 1
they 1
things 1
thought 1
thoughts 1
to 8
transfer 1
unable 1
undergone 1
unrequited 1
until 1
up 1
uppermiddle 1
use 1
walk 1
wants 3
well 1
who 2
win 1
with 5
world 1
year 1
york 1
