8052522
/m/026pvls
/m/026pvls
T. Coraghessan Boyle

{"/m/05hgj": "Novel"}
a 19
able 2
academic 1
accommodate 1
acquired 1
after 1
age 1
american 2
an 5
analogous 1
and 9
angry 1
are 1
as 2
astonishingly 1
at 3
attractive 1
barbara 1
be 1
becomes 1
been 1
believe 1
believes 1
belongs 1
best 1
boyfriend 1
bridger 2
by 3
california 2
called 1
card 1
career 1
charge 1
chase 1
child 1
communicate 1
county 1
course 1
creates 1
credit 1
criminal 1
crosscountry 1
dana 5
daughter 1
deaf 3
decide 1
degree 1
dependent 1
digger 1
disability 1
down 1
driver 1
dumped 1
early 1
effects 1
elaborate 1
ends 1
ensues 1
enters 1
eventually 1
example 1
expense 1
failing 1
fatherinlaw 1
few 1
film 1
for 5
former 1
four 1
from 1
furnish 1
gold 1
gone 1
great 1
halter 4
has 8
he 8
hearie 1
her 8
herself 1
him 1
his 6
identities 2
identity 2
in 8
industry 1
infection 1
into 1
irate 1
is 9
jail 2
language 1
left 1
lengths 1
license 1
life 3
likely 1
live 1
lives 1
love 1
lover 1
luxurious 1
made 1
man 2
marin 1
marriage 1
martin 3
master 1
money 2
moves 1
name 2
natalia 3
new 2
now 1
of 4
on 2
once 1
one 1
others 1
out 1
peck 3
perpetrated 1
peterskill 2
physician 1
possible 1
prison 1
profoundly 1
promising 1
put 1
raised 1
released 1
restaurateur 1
roque 1
russian 1
san 1
santa 1
school 1
sentence 1
serve 1
she 3
short 1
sign 1
since 1
society 1
sour 1
special 1
spending 1
stealing 1
stolen 1
subsequently 1
such 1
suffered 1
taken 1
takes 2
tastes 1
teaches 1
than 1
that 2
the 7
then 1
these 1
they 1
thief 1
thirties 1
to 11
together 1
track 1
turn 1
up 1
well 1
when 1
which 1
who 3
wife 2
william 1
wilson 2
with 4
woman 2
worse 1
years 1
york 2
young 1
younger 1
