16252757
/m/03wf2z3
/m/03wf2z3
Sue Grafton
1999-10-12
{"/m/02n4kr": "Mystery", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
14 1
172 1
21 1
30minute 1
8 1
a 24
abandoned 1
about 1
academy 1
according 1
accused 2
activity 1
affair 1
after 2
against 1
age 1
alibi 1
all 1
along 1
also 2
an 5
and 21
another 2
answers 1
apartment 5
are 1
as 7
asked 1
assumes 1
assuming 1
assurances 1
at 4
attempt 1
auction 1
back 1
badly 1
barmaid 1
be 2
beason 1
been 4
before 1
being 1
belied 1
benny 6
bennys 2
bethel 9
bethels 2
biker 1
blackmail 1
bought 1
box 2
breaking 1
brother 2
brothers 1
but 2
by 4
california 1
call 2
called 3
carlin 1
charge 1
cheating 1
classmate 1
clearly 1
colleague 2
coma 1
compare 1
conclude 1
confession 1
confirm 1
connections 1
consciousness 1
contacts 1
criminal 1
curiosity 1
death 2
decapitates 1
deduces 1
defaulted 1
detectives 2
did 1
died 1
dies 1
digger 1
disappearance 1
disappeared 1
disconcerted 1
discovered 1
discovers 1
dixie 2
dog 1
duffy 5
duncan 2
duncans 2
during 1
ends 1
era 1
eric 1
especially 1
evidence 1
exonerated 1
fake 1
false 2
finally 1
find 4
finding 1
finds 3
fingerprints 1
follows 1
for 7
force 1
former 2
frequent 1
frequenting 1
from 9
fronts 1
give 1
giving 1
goes 1
guilt 1
gun 1
habitual 1
had 6
hails 1
half 1
happened 1
has 5
hasnt 1
haunt 1
have 3
having 2
he 7
headed 1
helicopter 1
her 15
herself 2
high 2
hightower 1
him 8
his 4
honkytonk 4
however 1
husband 3
ids 2
illegal 1
illegally 1
implicating 1
in 17
injured 1
injustice 1
interest 1
interested 1
interrupted 1
into 4
is 9
it 1
items 1
its 1
jacket 1
journalist 1
kentucky 1
killed 3
killing 1
kinsey 12
kinseys 1
laddie 2
lapd 2
later 3
lawyer 1
leads 1
learns 1
left 3
letter 1
lie 1
like 1
list 1
litenberg 1
living 1
locker 1
looking 1
louisville 4
luxury 1
macgruder 1
made 1
man 1
manslaughter 1
manufacture 1
mark 3
marriage 1
married 1
meanwhile 1
medical 2
memories 1
met 1
michael 1
mickey 19
mickeys 8
missing 1
months 2
motive 1
motives 1
must 1
neighbour 1
never 1
newfound 1
news 1
night 1
notes 1
now 2
number 1
oaks 3
of 19
office 1
officers 1
old 1
on 4
one 1
operation 1
originally 1
out 7
pass 2
passed 1
persuaded 1
police 2
political 1
possession 1
possessions 1
present 1
press 2
presumably 1
pushed 1
puts 1
quintero 4
quinteros 1
rap 1
reached 1
realises 1
reappear 1
receives 1
recent 2
recentlyreturned 1
recognises 1
record 1
refused 1
regaining 1
registered 1
reluctantly 1
reports 1
responsible 1
roused 1
running 2
s 1
santa 2
saving 1
saying 1
scam 1
school 1
search 2
searching 1
sensing 1
set 1
sets 1
sewn 1
shack 1
shared 1
she 19
shock 1
shocked 1
shooting 1
shortly 1
shot 2
since 1
some 3
son 1
sort 2
souvenir 1
spoken 1
stash 1
stolen 1
storage 1
stuff 1
suspect 2
suspicious 1
tags 1
take 1
target 1
teresa 2
that 10
the 29
them 1
they 2
thinking 1
this 1
though 1
tim 1
time 1
to 25
took 1
traced 1
trail 2
transit 1
trap 1
treatment 1
tried 1
trip 1
truth 3
turns 1
two 1
uncovered 3
understanding 1
up 2
used 1
vet 1
veteran 2
vietnam 5
violence 1
visitor 1
walked 1
war 1
wary 1
was 8
weapons 1
weeks 1
well 2
what 1
when 6
which 5
whilst 1
who 5
whom 1
wife 1
with 7
without 1
witnessed 1
written 1
wrong 1
years 3
young 1
