13984088
/m/03cq41h
/m/03cq41h
Lawrence Durrell
1935
a 5
again 1
an 2
and 13
angloindian 1
ankle 1
appears 1
are 2
around 1
as 1
associated 1
aunt 1
awareness 1
being 1
between 2
bohemian 1
bone 1
born 1
brenda 1
but 1
by 7
caught 1
challenges 1
characters 3
childbirth 1
christianity 1
clifton 2
colonial 1
comfortable 1
comments 1
compounded 1
concerned 1
concludes 1
conflict 1
consists 1
couple 1
culture 1
death 3
delivered 1
developed 1
developing 1
develops 1
diagnosed 1
dies 1
discomforted 1
doctor 1
dream 1
during 1
earns 1
echoing 1
education 1
england 1
english 1
european 3
eventual 1
experiences 2
father 3
feelings 1
feminine 1
final 1
first 1
fixation 1
for 1
former 1
frequently 1
grandmamma 1
has 2
he 7
him 1
his 17
home 1
homosexual 1
human 1
identity 2
ill 1
in 10
increasing 1
india 3
indian 3
inheritance 1
interracial 1
is 12
jazz 1
john 1
largely 1
latter 1
life 1
lifestyle 1
living 1
london 1
love 1
masculine 1
masculinity 1
maternal 1
morbid 1
mortality 1
most 1
mother 2
music 1
not 1
notions 1
novel 5
of 11
often 2
on 3
opening 1
or 1
other 1
outside 1
over 1
particular 1
paternal 1
portion 2
position 1
protagonist 1
pyre 1
raised 1
readings 1
regularly 2
rejects 1
remained 1
representatives 1
ruth 1
same 1
scenes 1
schoolboy 1
sees 1
sense 1
sent 1
sequences 1
set 1
several 1
sexuality 1
she 1
significant 1
soho 1
stage 1
strong 1
superiority 1
symbolized 1
tandem 1
terminally 1
the 13
then 1
these 1
they 1
this 3
thoroughly 1
though 1
thwarted 1
tied 1
ties 1
to 4
torn 1
traditional 1
typically 1
ultimately 1
walsh 6
where 1
while 1
who 3
wide 1
with 4
witnessed 1
writing 1
