25337388
/m/09ggmvc
/m/09ggmvc
Mildred Taylor
1992
141 1
17yearold 1
a 32
aames 6
able 3
about 18
across 2
acting 1
admitted 1
african 1
after 14
again 4
all 7
almost 1
alone 2
along 4
also 4
american 1
an 1
and 116
anger 1
another 2
anyone 1
anything 2
anyways 1
apartment 1
apologize 2
appearance 1
are 10
arent 1
arguing 1
army 2
article 1
as 20
ask 1
asks 1
asleep 2
at 12
attends 1
attracted 1
authorities 1
away 4
baby 1
back 17
bad 2
bath 2
bc 1
be 6
because 5
been 2
before 5
behind 1
being 3
belief 1
believe 1
bend 1
better 1
big 1
black 1
bombed 1
books 1
both 1
boy 2
boys 1
bradley 1
brand 1
breaks 1
bringing 1
brings 1
broken 1
brokenhearted 1
brother 4
brothers 10
but 8
by 10
calls 1
can 4
cant 1
cap 1
car 17
cassie 41
catch 1
caught 1
cause 1
caused 1
causing 1
changed 1
charged 1
charlie 1
chase 1
chased 1
chicago 3
christopherjohn 4
church 1
clarence 37
closes 1
collapses 1
color 1
come 9
comes 10
coming 3
community 1
constant 1
coon 2
courting 1
cousin 1
cousins 2
cries 1
criminal 1
crowbar 1
damage 1
damaged 1
dances 1
darkness 1
david 1
day 2
dead 3
decide 4
decides 3
demands 1
despite 2
dessie 1
dire 1
directs 1
discussion 1
ditch 1
do 9
does 5
doesnt 5
dog 2
dogs 1
done 3
down 4
drive 3
driven 1
drives 1
drop 1
eat 1
education 1
else 2
embarrassed 1
encounter 3
ends 1
even 1
events 1
eventually 1
everyone 1
explain 1
explains 1
fact 1
falls 2
father 4
fault 1
feel 2
feels 3
fighting 1
finally 1
find 12
finds 3
finish 1
first 3
fix 2
fixed 3
food 2
for 20
forced 2
forces 1
foreshadowing 1
forest 1
forgive 1
forgotten 1
friend 1
friends 5
from 7
funeral 1
garage 5
get 21
gets 4
getting 1
girl 1
girlfriend 2
gives 3
go 15
goes 10
going 5
good 4
goodbyes 1
got 3
green 1
greeted 1
ground 1
growing 1
gun 1
had 7
hands 1
happened 5
happening 1
happy 1
harbor 1
harris 19
has 19
hasnt 1
hat 1
hateful 1
hauls 1
have 4
having 1
he 54
head 9
headache 2
hear 1
help 2
helps 2
her 24
herself 1
hesitant 1
hide 1
high 1
him 26
himself 3
his 41
hits 2
hold 2
home 5
hospital 1
house 3
how 4
humiliation 1
hunting 3
hurt 1
hurts 1
if 4
in 26
indoor 1
infers 1
inform 1
inside 1
insists 1
interrupted 1
into 10
introduces 1
is 38
it 13
its 3
itthat 1
jackson 4
jail 1
jamison 4
janitor 1
japanese 1
jasper 1
jeremy 17
job 1
join 1
joining 2
jumps 1
just 10
keeps 1
kicked 1
killing 1
kisses 3
knocking 1
knocks 1
know 2
knows 3
later 5
laughing 1
lawyer 1
learn 1
learned 1
leave 5
leaves 3
leaving 3
left 3
leg 1
leon 1
let 1
letter 2
life 2
like 4
little 11
local 1
logan 2
long 2
look 1
looking 2
looks 1
losing 1
lost 1
love 1
loved 1
lover 1
low 1
luck 2
