5262128
/m/0dbg4s
/m/0dbg4s
Bernard Cornwell

a 8
about 1
acclamation 1
accompany 1
aid 1
all 1
alliance 2
also 3
an 1
and 19
apathic 1
apparent 1
are 1
armies 1
arrives 1
arthur 6
as 1
asks 2
be 3
betrothal 1
between 2
bone 1
both 1
bound 1
break 1
breaks 1
britain 2
british 1
but 2
caer 2
caersws 1
campaign 1
capital 1
cauldron 1
ceinwyn 5
cementing 1
chapter 1
choose 1
combined 1
committed 1
common 1
court 1
crowned 1
cuneglas 3
dark 1
days 1
dead 1
derfel 11
describes 1
desire 1
destroy 1
diwrnach 1
do 1
does 1
dream 1
drink 1
drive 1
dumnonia 1
eastern 1
edling 1
enemies 1
enemy 1
follow 1
for 4
frustration 1
ghoul 2
gives 1
god 1
goes 1
gorfyddyd 2
granted 1
guinevere 2
gundleus 1
gwenhwyvach 1
hallucinates 1
hallucinogenic 1
happiness 1
has 2
he 6
her 2
hilltop 1
him 8
himself 1
his 7
if 1
in 2
including 1
irish 1
is 5
island 1
it 2
king 6
kingdoms 1
lancelot 4
late 1
later 1
left 1
lleyn 1
love 1
magical 1
make 1
marriage 1
marry 2
meet 1
men 1
merlin 8
namely 1
night 1
nimue 1
not 1
of 14
off 2
on 2
one 2
ordered 1
out 1
over 2
peace 1
plain 1
plan 1
potion 1
powys 5
presence 1
princess 1
quest 2
requires 1
reveal 1
road 1
saxons 2
sees 1
shares 1
siluria 3
silurian 1
sister 1
son 1
speaks 1
starts 1
sws 2
taking 1
tells 4
that 7
the 15
their 1
thirteen 1
throne 1
thus 1
to 16
treasures 1
unexpected 1
vacant 1
vicious 1
victory 1
virgin 1
vision 1
want 1
wants 1
warns 1
was 1
watches 1
where 3
which 1
will 4
winter 1
wish 1
with 6
witnesses 1
