31824386
/m/0gty2tz
/m/0gty2tz
Andy Lane
2011-05-26
{"/m/028v3": "Detective fiction"}
a 20
abandoned 1
accompanied 1
adapted 1
again 1
agent 1
allowing 1
amyus 3
an 1
and 18
animal 1
apparent 1
around 1
arrest 2
arrested 1
arrive 2
as 2
at 4
back 1
banks 1
be 2
becomes 1
being 2
bitten 1
body 1
both 2
bottle 1
bouncer 3
business 2
but 2
by 6
cafe 1
can 1
card 2
case 1
chaos 1
chased 1
chases 1
chat 1
children 1
clear 1
climbs 1
club 1
clues 1
count 1
created 1
crowe 1
dagger 1
dangerous 1
dark 1
dead 2
deduced 1
descends 1
determine 1
diogenes 1
disappearance 1
disguise 1
does 1
dog 1
dogs 3
downstream 1
due 2
ears 1
encounter 1
end 1
ends 1
escape 3
events 1
evident 1
falcon 1
feral 1
find 3
finds 2
finger 1
for 6
framed 2
frameup 1
freshly 1
from 1
get 1
go 1
goes 1
greater 1
grip 1
hand 2
has 2
have 5
he 8
hear 1
hearing 1
him 6
himself 1
his 9
holding 1
holmes 1
hotel 1
house 1
in 13
inhabited 1
innocence 1
into 1
invites 1
is 8
it 5
its 1
joins 1
knowing 1
larger 1
leads 1
leaving 1
led 1
life 2
linked 1
liquid 1
local 1
located 1
locates 1
london 4
look 1
loosens 1
make 2
manages 1
manhole 2
may 1
meet 1
meets 1
met 1
might 1
moment 1
moscow 4
move 1
murder 3
museum 1
mycroft 10
mysterious 1
navigating 1
neck 1
necropolis 1
neglinnaya 1
next 1
noise 1
normal 1
not 1
objects 1
occurring 1
of 10
on 5
only 2
order 2
ordinary 1
over 2
pack 1
pair 1
part 1
people 2
pickpocketing 1
plan 1
police 2
policethe 1
pounce 1
printed 1
printer 1
printers 1
prove 1
pursuer 1
railway 1
ready 1
right 1
river 4
robert 2
rufus 1
run 1
runs 1
russia 4
save 1
scene 1
searching 1
secret 1
section 1
see 1
sees 1
sense 1
set 2
several 1
sewers 1
sherlock 19
shuvalov 1
small 2
some 1
someone 1
soon 4
speculates 1
split 1
state 2
stone 1
survive 1
tables 1
tails 1
taken 1
tavern 1
tells 1
than 2
that 8
the 29
theater 1
their 3
them 2
then 4
there 2
they 6
third 1
this 2
those 1
through 1
to 25
trail 1
traveling 1
tributary 1
troupe 1
truth 1
tunnels 1
turn 1
tutor 1
twitching 1
uncover 1
up 5
via 1
visit 1
was 5
watching 1
way 3
when 1
where 1
which 1
while 2
who 5
will 3
with 2
wooden 1
wormersley 1
wormesley 2
