22295610
/m/05szck5
/m/05szck5
Patrick Carman
2009-08-11
1 1
3 1
a 13
about 1
adding 1
after 3
agents 1
airport 2
alert 1
alexei 1
alliance 1
also 2
amber 3
amy 6
an 3
anastasia 2
and 22
are 4
around 2
arriving 1
as 1
asleep 1
at 1
attack 2
attempt 1
au 1
australian 1
base 1
being 1
black 1
blood 1
boarding 1
book 2
bottom 1
box 1
but 2
buy 1
by 5
cairo 1
calls 2
cell 1
chased 1
check 1
church 2
cities 3
climbing 1
clue 5
clues 2
code 1
coffin 1
competitors 1
dan 7
daughter 1
didnt 1
die 1
died 1
different 1
discover 2
disguises 2
doughnuts 1
down 1
during 1
ekaterina 1
ending 1
ends 1
escape 1
eventually 1
eye 1
fake 1
family 2
find 6
finished 1
follow 1
following 2
for 2
found 2
from 1
given 1
gives 1
glass 1
gram 1
guide 1
guides 1
hamilton 1
he 1
help 1
her 3
hidden 1
hide 1
him 1
hint 1
holding 1
holts 3
hotel 1
however 1
hunt 1
ian 1
in 11
includes 1
information 1
inside 1
international 1
into 1
irina 2
is 4
it 2
kabra 1
kabras 2
key 1
known 1
last 1
leading 1
leave 1
letters 3
list 1
located 1
location 1
locker 2
looking 1
lose 1
lucian 2
lures 1
madrigals 1
magadan 1
make 1
man 1
meaning 1
meet 1
melted 1
mentioned 1
moscow 1
motherland 1
move 1
murder 1
mysterious 2
names 2
natalie 1
nataliya 2
nellie 3
never 1
next 1
note 1
nrr 2
number 1
of 12
omsk 1
on 7
one 1
only 3
out 4
pair 1
paperweight 1
parchment 2
parents 1
passports 2
person 1
petersburg 1
phone 1
piece 1
place 1
plane 1
plus 1
race 1
radova 1
rasputin 2
remaining 1
romanov 2
romanovs 1
room 2
royal 2
run 1
ruslanovna 1
russia 1
russian 3
safely 1
saying 1
scrambled 1
seems 1
showing 1
siberian 1
so 1
some 2
st 1
statue 1
still 1
stronghold 1
supposedly 1
take 1
telegram 3
that 2
the 51
their 5
them 5
there 1
they 15
tickets 1
to 11
two 3
underlined 2
unscramble 1
volgograd 3
way 2
went 2
what 1
which 1
while 1
who 2
with 9
words 1
work 1
world 1
yekaterinburg 1
