19048475
/m/04jhx46
/m/04jhx46
André Franquin
1970
a 3
against 1
alarm 1
allow 1
and 4
appears 1
atmosphere 1
attracts 1
be 2
begins 1
bomb 2
bubulle 1
but 2
cardboard 1
catastrophic 1
christmas 1
clock 2
cuckoo 2
cupboard 1
definitively 1
device 1
difficult 1
doors 1
each 1
effects 1
energy 1
experiment 1
explodes 1
extract 1
fall 1
famous 1
fantasio 1
feature 1
first 1
fish 1
flash 1
fly 2
for 3
form 1
frighteing 1
from 2
gaffophone 1
gags 1
gaston 3
giant 2
grdidji 1
handful 1
has 1
he 1
horses 1
houses 1
in 3
insecticide 1
invented 1
inventions 1
is 1
it 2
jeanne 1
leaves 1
made 1
moiselle 1
mouvements 1
much 2
nearby 1
neighbouring 1
new 1
of 4
off 1
office 1
offices 1
on 3
one 1
open 1
out 1
papiermch 1
perfume 1
personal 2
placed 1
played 1
portable 1
powerful 2
prunelle 1
realistic 1
replaced 1
resulting 1
rogntudju 1
running 1
several 1
so 1
some 1
spaceship 1
special 1
spray 1
strings 1
swear 1
taking 1
termites 1
that 1
the 10
time 1
to 8
too 3
transfomer 1
transformer 1
trees 1
tries 1
turned 1
turns 1
version 1
very 2
when 2
which 2
wood 1
woods 1
