25044267
/m/09gh912
/m/09gh912
Kathy Reichs
2009
a 1
alleged 1
although 1
and 4
andrew 1
annoyance 1
are 2
at 2
back 1
bonds 1
call 1
career 1
cases 1
chicago 1
clear 1
connected 1
continue 1
convinced 1
danger 1
dead 2
death 1
deaths 1
end 1
estranged 1
exhusbands 1
family 1
flight 1
for 1
from 1
handling 1
heiress 1
her 7
his 1
in 3
informant 1
inside 1
is 7
it 1
life 1
made 1
makes 1
meticulous 1
mistakes 2
montreal 2
more 4
much 1
name 1
not 1
now 1
of 2
old 1
once 1
only 1
out 1
placed 1
public 1
recent 1
relationship 1
risk 1
romantic 1
ryan 3
sabotaging 1
seems 1
set 1
she 2
somehow 1
someone 1
still 1
tempe 4
tempes 2
that 2
the 5
three 1
to 5
too 1
turns 1
unsure 1
up 1
usually 1
very 1
waiting 1
where 1
whether 1
while 1
who 1
why 1
with 3
women 1
