474327
/m/02dwsr
/m/02dwsr
Gregory Benford
1997-02
20000 1
a 2
accept 1
accepting 1
action 1
actions 1
advanced 2
advises 1
ago 1
aid 1
aliens 4
allies 1
also 1
amaryl 1
ancient 1
and 11
appoint 1
appointment 1
arc 1
around 1
arrived 1
artifice 2
artificial 1
as 3
associates 2
away 1
back 1
be 2
because 1
been 1
beings 1
besides 1
betan 2
built 1
by 2
champion 2
chaotic 1
chimpanzees 1
citizenship 1
cleon 2
cleons 1
company 1
constraints 1
council 3
curry 1
dahl 1
debate 1
decree 1
defeat 1
denying 1
discouraging 1
dors 3
during 1
emperor 3
empire 1
endowed 1
ends 1
erases 1
escape 1
escaping 1
example 1
experience 1
favor 1
first 3
fled 1
flee 1
for 2
forces 1
from 2
full 1
galactic 2
hari 5
have 1
helterskelter 1
high 3
him 1
himself 1
his 2
however 1
humaniform 1
i 2
if 1
immortality 1
in 1
independent 1
informally 1
intelligence 1
interact 1
internet 1
into 1
is 2
its 1
joan 6
juninsector 1
lamurk 2
lamurks 1
led 1
located 1
marq 1
meanwhile 1
mechanical 1
member 3
mesh 3
minister 2
moneymaking 1
more 1
much 1
names 1
needs 1
new 1
novel 2
odyssey 1
of 6
on 4
opposes 1
panucopia 1
physical 1
plan 1
planet 1
position 2
powerful 1
preservers 2
programmers 1
project 3
projects 1
psychohistorians 1
psychohistory 2
pulling 1
reality 1
receive 1
records 1
recreated 1
reluctant 1
renaissance 1
research 1
return 1
revolves 1
robots 1
robotspouse 1
sark 1
second 1
sector 1
seldon 7
seldons 4
sentient 1
should 2
sims 4
simulations 1
skeptics 2
so 1
society 1
space 1
suggests 1
sybil 1
terraforming 1
terrorists 1
than 1
that 1
the 17
their 1
them 1
these 1
they 2
through 1
tiktoks 1
time 1
to 5
trantor 6
trantors 3
two 1
use 1
venabili 2
via 1
virtual 1
visit 1
voltaire 6
vs 1
wants 1
when 1
whether 2
will 1
with 5
world 1
years 1
yugo 1
